"node"	"mean_edge_length"
8	1.75
3	0.666666666666667
4	1
12	1.58333333333333
12	1.75
36	2.44444444444444
9	1.66666666666667
7	1.42857142857143
6	1.66666666666667
11	1.90909090909091
12	1.75
7	1.42857142857143
31	2.09677419354839
10	1.7
26	2.26923076923077
33	2.60606060606061
9	1.22222222222222
19	1.94736842105263
10	1.2
7	1.71428571428571
31	2.61290322580645
7	1.71428571428571
29	1.86206896551724
34	1.85294117647059
39	3.76923076923077
9	1.44444444444444
21	1.80952380952381
15	1.8
47	2.68085106382979
97	3.04123711340206
74	4.7027027027027
34	1.88235294117647
10	1.4
12	1.5
16	3.25
4	1
65	2.86153846153846
9	1.55555555555556
9	1.33333333333333
3	0.666666666666667
38	4.15789473684211
9	1.33333333333333
19	1.57894736842105
5	1
10	1.3
28	1.85714285714286
42	2.38095238095238
24	2.04166666666667
44	3.95454545454545
36	2.61111111111111
43	4.06976744186047
61	3.81967213114754
29	2.62068965517241
10	1.6
58	6.06896551724138
7	1.28571428571429
27	1.81481481481481
18	1.94444444444444
17	1.76470588235294
47	3.74468085106383
6	1.33333333333333
63	2.42857142857143
43	2.51162790697674
48	2
11	1.36363636363636
15	1.93333333333333
75	3.89333333333333
7	1.14285714285714
35	2.28571428571429
4	1
20	2.3
32	2.46875
57	3.78947368421053
77	3.84415584415584
7	1.28571428571429
31	2.48387096774194
17	1.88235294117647
50	3.38
6	1
34	2.35294117647059
14	1.5
32	2.09375
38	2.84210526315789
24	2.54166666666667
13	2.84615384615385
33	2.57575757575758
40	2.325
14	1.35714285714286
21	1.85714285714286
40	2.4
50	2.78
7	1.28571428571429
36	3.97222222222222
8	1.75
12	1.66666666666667
17	2.64705882352941
23	2.95652173913043
53	3.41509433962264
10	1.8
25	2.4
9	1.33333333333333
37	2.62162162162162
34	3.26470588235294
24	3.08333333333333
106	4.97169811320755
11	1.72727272727273
48	3.08333333333333
13	1.61538461538462
20	2.5
9	1.44444444444444
48	3.72916666666667
9	1.44444444444444
37	2.35135135135135
16	1.875
27	2.03703703703704
28	3.03571428571429
37	2.2972972972973
8	1.75
33	2.3030303030303
11	1.72727272727273
19	1.84210526315789
13	1.46153846153846
36	2.38888888888889
25	2.44
25	1.84
9	1.44444444444444
22	1.95454545454545
35	2.48571428571429
3	1
35	4.45714285714286
9	1.55555555555556
21	2.71428571428571
39	2.41025641025641
26	2.11538461538462
58	3.56896551724138
22	1.86363636363636
12	2.08333333333333
15	2
5	1.2
45	2.53333333333333
22	2.04545454545455
44	4.47727272727273
12	1.75
13	1.46153846153846
4	0.75
10	1.5
15	1.53333333333333
32	2.75
60	3.31666666666667
10	1.8
47	3.5531914893617
73	3.65753424657534
24	2.29166666666667
13	1.84615384615385
44	2.56818181818182
58	6.08620689655172
11	1.72727272727273
62	3.14516129032258
45	3.55555555555556
45	3
18	1.38888888888889
4	1
5	1
5	1.2
13	1.53846153846154
5	1
4	0.75
15	2
3	1
11	1.81818181818182
7	1.28571428571429
8	1.5
7	1.57142857142857
9	1.77777777777778
9	1.44444444444444
8	1.5
14	1.35714285714286
5	1.4
11	1.54545454545455
15	1.26666666666667
6	1.33333333333333
8	2.125
33	2.36363636363636
8	1.625
40	3.8
11	1.45454545454545
28	2.42857142857143
38	2.18421052631579
7	1.42857142857143
33	3.93939393939394
17	2.70588235294118
5	1
12	1.66666666666667
32	2.5625
17	1.70588235294118
19	2.42105263157895
7	1.57142857142857
20	2.25
9	2.11111111111111
5	1.4
40	3.3
6	1.66666666666667
26	2.84615384615385
26	2.23076923076923
12	1.83333333333333
6	1.16666666666667
25	2.52
12	1.75
12	1.83333333333333
25	3.08
17	2.11764705882353
31	2.38709677419355
12	1.66666666666667
54	3.83333333333333
11	1.27272727272727
29	1.86206896551724
75	6.94666666666667
20	1.85
17	2.70588235294118
8	1.5
23	3.91304347826087
77	3.09090909090909
17	2.52941176470588
11	1.63636363636364
39	2.74358974358974
9	1.44444444444444
5	1.2
25	2.36
30	2.46666666666667
14	1.92857142857143
4	0.75
8	1.375
14	1.42857142857143
56	3.64285714285714
34	2.82352941176471
44	2.52272727272727
11	1.72727272727273
21	3.76190476190476
12	1.5
42	2.69047619047619
9	1.33333333333333
30	2.96666666666667
8	1.125
8	1.5
102	6.29411764705882
11	1.54545454545455
13	1.61538461538462
16	3.4375
6	1
36	2.47222222222222
13	1.76923076923077
10	1.6
14	1.35714285714286
9	1.88888888888889
6	1.33333333333333
29	1.89655172413793
21	2.95238095238095
10	1.5
23	1.73913043478261
25	1.56
10	1.5
10	2.2
8	1.25
43	4.30232558139535
37	2.86486486486486
54	3.51851851851852
11	2.36363636363636
19	1.89473684210526
12	1.58333333333333
15	1.53333333333333
10	1.4
3	0.666666666666667
8	1.5
8	1.5
10	1.2
15	1.8
12	1.41666666666667
15	2.26666666666667
7	1.42857142857143
31	3.54838709677419
15	1.26666666666667
12	1.33333333333333
7	1.71428571428571
10	1.6
6	1.5
10	2
8	1.5
11	2
11	1.27272727272727
13	1.69230769230769
7	1.28571428571429
7	1.28571428571429
9	1.33333333333333
11	1.45454545454545
8	1.25
11	1.72727272727273
6	1.5
14	2.14285714285714
7	1.28571428571429
10	1.3
36	2.44444444444444
9	1.33333333333333
25	2.16
7	1.14285714285714
14	2.14285714285714
17	2.17647058823529
26	3.03846153846154
45	3.53333333333333
11	1.45454545454545
43	2.41860465116279
14	1.85714285714286
26	3.53846153846154
69	4.20289855072464
48	2.4375
43	2.11627906976744
7	1.28571428571429
22	2.54545454545455
10	1.6
12	1.66666666666667
36	2.55555555555556
11	1.54545454545455
27	2.62962962962963
3	0.666666666666667
5	0.8
5	0.8
5	0.8
5	0.8
6	1
13	1.53846153846154
24	2.125
11	1.54545454545455
14	1.21428571428571
7	1.14285714285714
14	2.07142857142857
13	1.84615384615385
9	1.33333333333333
3	1
3	1
28	2.5
