"node"	"mean_edge_length"
16	2.125
4	1
4	1
9	1.55555555555556
11	1.63636363636364
7	1.57142857142857
18	1.77777777777778
10	1.8
6	1.16666666666667
8	1.5
7	1.57142857142857
6	1.5
5	1.2
13	2.30769230769231
9	1.77777777777778
6	1.83333333333333
9	1.66666666666667
4	0.75
9	2
12	2
8	1.5
10	2.4
10	2
13	2.07692307692308
5	2
15	1.66666666666667
14	2
16	2.125
6	1.16666666666667
17	2.35294117647059
16	2.3125
12	2
21	2.9047619047619
19	2.63157894736842
7	1.28571428571429
17	1.82352941176471
14	2.64285714285714
10	1.6
21	2.23809523809524
11	1.81818181818182
19	2.31578947368421
20	2.8
8	1.375
11	2.18181818181818
19	2.26315789473684
6	1.66666666666667
5	1.6
11	2.63636363636364
16	2
10	1.3
4	1
21	3.42857142857143
23	2.52173913043478
22	3.36363636363636
11	2.54545454545455
8	1.375
12	2.25
23	2.47826086956522
10	1.8
18	3.11111111111111
15	2.73333333333333
14	2
7	1.14285714285714
9	1.55555555555556
16	2.5625
7	1.14285714285714
10	1.6
10	2.4
25	2.44
18	1.61111111111111
27	2.7037037037037
15	3
8	1.5
7	2
5	1.2
4	1.25
3	0.666666666666667
4	1.25
3	1
14	3.64285714285714
3	1
4	1
8	2.125
8	1.5
12	1.83333333333333
4	1
4	1.5
13	2
3	1
12	1.75
3	0.666666666666667
5	1.2
5	1.2
10	2.1
4	1
7	1.28571428571429
3	0.666666666666667
3	0.666666666666667
7	1.57142857142857
9	1.77777777777778
6	1.5
4	1.25
4	1
3	0.666666666666667
3	1
6	1.5
4	1
7	1
3	1
4	1
4	1
3	1
13	2.69230769230769
4	1
3	0.666666666666667
16	1.9375
3	0.666666666666667
4	1
4	1
11	1.27272727272727
11	1.63636363636364
4	1
5	1.2
8	1.625
5	1.4
4	1
7	1.85714285714286
3	1
3	0.666666666666667
4	1.5
5	2
3	0.666666666666667
6	1.16666666666667
3	1
5	1
11	1.45454545454545
10	1.4
6	1.66666666666667
19	2.05263157894737
9	1.66666666666667
6	1.66666666666667
4	1.25
14	1.71428571428571
7	1.71428571428571
9	2
10	1.9
10	2.3
6	1.16666666666667
11	2.63636363636364
4	1
6	1.5
8	2
6	1.33333333333333
