"node"	"mean_edge_length"
8	1.875
13	2.53846153846154
5	1
5	1
8	2
8	2.125
5	1
9	2.33333333333333
9	1.88888888888889
4	1.5
6	2.16666666666667
4	1.25
6	1.16666666666667
10	1.5
5	1.2
11	2
4	1.5
9	1.33333333333333
4	1
10	2.4
6	1.5
4	1.5
7	2.14285714285714
8	1.625
6	1.16666666666667
9	2
3	0.666666666666667
3	1
3	1
6	1.83333333333333
5	1.6
7	2.57142857142857
3	0.666666666666667
5	1.2
7	2.42857142857143
6	1.5
6	1.83333333333333
3	1
5	1
5	1.2
5	1.4
4	1.25
6	1
11	1.63636363636364
6	2
5	1.4
6	1.33333333333333
4	1.5
4	1
3	1
4	1
6	1.83333333333333
7	1
3	1
8	1.5
4	1.5
6	1.83333333333333
6	1.5
6	1.5
3	1
4	1.25
3	1
5	1.4
8	1.875
4	1.25
4	1
9	1.55555555555556
4	1
6	1.66666666666667
4	1.5
3	1
10	1.8
3	1
8	1.75
5	1.4
4	1
5	1.6
3	1
6	2.33333333333333
6	1.16666666666667
9	2
4	1
4	1.25
4	1.5
8	1.625
7	2
9	2.22222222222222
10	1.9
5	1
5	1
5	2
6	1.83333333333333
8	2
4	1.5
3	0.666666666666667
4	1.5
4	1
5	1.2
5	1.2
6	1.5
3	1
10	1.9
3	1
4	1.25
7	2.14285714285714
8	1.75
4	1.5
3	1
5	1.2
5	1.4
8	1.625
7	1.71428571428571
4	1
3	1
7	1.14285714285714
6	1.83333333333333
4	1
3	1
3	1
5	1.2
3	1
3	1
7	2.42857142857143
8	2.5
5	1.6
4	0.75
9	2.22222222222222
14	2.35714285714286
5	1
7	2.57142857142857
12	1.91666666666667
3	1
5	1.4
5	2
4	1.5
5	1.8
3	1
5	1.2
9	2
7	1.85714285714286
5	2
11	2.18181818181818
9	1.77777777777778
3	1
4	1
5	1.4
6	1.16666666666667
3	1
4	0.75
7	1.85714285714286
4	1.5
9	2.55555555555556
11	2.45454545454545
7	1.85714285714286
9	1.55555555555556
6	1.5
7	3
8	2.25
3	1
12	2.75
3	1
13	4.30769230769231
8	2.25
