"node"	"mean_edge_length"
3	0.666666666666667
5	1.2
7	1.71428571428571
3	1
3	1
5	1.2
4	1
12	2
7	1.71428571428571
7	1.71428571428571
11	1.81818181818182
7	1.42857142857143
7	1.42857142857143
25	1.92
4	1
4	0.75
17	2.11764705882353
9	1.88888888888889
4	1
7	1.71428571428571
8	1.25
10	2
11	1.54545454545455
7	1.57142857142857
7	1.28571428571429
9	1.55555555555556
10	2.5
5	1.2
11	1.54545454545455
11	1.63636363636364
15	1.86666666666667
4	1.25
22	3.31818181818182
9	1.88888888888889
9	2
13	2.23076923076923
13	1.76923076923077
10	1.6
4	1.5
9	2
3	0.666666666666667
3	0.666666666666667
14	2.07142857142857
10	1.8
11	1.54545454545455
7	1.42857142857143
5	1
20	1.85
9	2.11111111111111
16	2.625
10	3.1
15	2.06666666666667
9	1.66666666666667
17	2.11764705882353
7	1.71428571428571
11	1.54545454545455
24	2.70833333333333
7	1.28571428571429
7	1.28571428571429
18	1.88888888888889
17	1.70588235294118
10	1.5
11	1.63636363636364
9	1.44444444444444
12	1.75
10	2.1
11	1.90909090909091
9	1.44444444444444
7	1.57142857142857
18	2.55555555555556
16	2.875
7	1.42857142857143
17	1.82352941176471
15	2.73333333333333
25	2.4
15	1.53333333333333
14	1.85714285714286
13	2.61538461538462
8	1.5
22	2.81818181818182
18	3
27	2.2962962962963
32	2.8125
24	2.91666666666667
23	2.52173913043478
21	2.19047619047619
17	2.29411764705882
23	2
15	2.2
9	1.44444444444444
10	1.4
6	1.33333333333333
14	2.07142857142857
5	1
8	1.5
13	2.69230769230769
15	1.6
19	2.63157894736842
9	2.44444444444444
25	2.76
16	1.8125
6	2.16666666666667
15	1.86666666666667
9	1.44444444444444
3	0.666666666666667
16	1.875
10	1.9
28	2.14285714285714
26	3.61538461538462
24	2
4	1
19	2.15789473684211
9	1.55555555555556
22	2.22727272727273
14	1.57142857142857
8	1.75
12	1.83333333333333
5	1.2
18	3.27777777777778
11	2.27272727272727
8	1.75
14	1.57142857142857
11	2
9	1.22222222222222
6	1.16666666666667
9	1.77777777777778
8	1.875
31	2.93548387096774
16	3.3125
12	1.75
15	2.06666666666667
10	1.7
13	1.84615384615385
11	2.09090909090909
7	1.42857142857143
14	1.78571428571429
10	1.4
6	1.5
5	2
16	2.0625
6	2.33333333333333
8	2
7	1.28571428571429
5	2
8	1.75
16	3.75
5	2
6	1.5
14	1.92857142857143
6	2.33333333333333
17	2.17647058823529
5	2
7	1.85714285714286
12	2.08333333333333
5	2
11	2.36363636363636
11	1.63636363636364
5	2
10	2.5
6	2.33333333333333
21	2.19047619047619
5	2
6	1.16666666666667
13	1.84615384615385
5	1.4
11	1.45454545454545
17	2.58823529411765
30	1.86666666666667
13	1.76923076923077
7	1.85714285714286
14	2.5
20	2.25
33	2.21212121212121
25	1.8
3	1
15	1.46666666666667
11	2
8	1.375
21	2.61904761904762
10	1.8
9	2.44444444444444
19	2.26315789473684
14	2.28571428571429
7	2.14285714285714
5	1.2
15	1.8
10	1.9
8	1.375
6	1.5
17	1.88235294117647
8	1.25
7	1.85714285714286
9	1.55555555555556
5	1
8	1.875
5	1.2
12	1.66666666666667
5	1.2
12	1.58333333333333
10	2.1
9	1.77777777777778
11	1.63636363636364
14	1.71428571428571
9	1.22222222222222
6	1.33333333333333
15	1.8
6	1.33333333333333
21	2.38095238095238
12	2.08333333333333
24	2.08333333333333
3	1
16	2.125
20	2.45
18	2.38888888888889
33	2.72727272727273
18	1.88888888888889
50	3.88
37	3.51351351351351
18	2.05555555555556
22	2.59090909090909
22	2.04545454545455
25	2.48
24	1.79166666666667
14	1.85714285714286
24	2.33333333333333
19	3.26315789473684
29	2.58620689655172
14	2.14285714285714
9	1.44444444444444
4	1
5	1.4
6	1.16666666666667
13	1.53846153846154
13	1.61538461538462
18	2.05555555555556
13	1.76923076923077
6	1.83333333333333
17	2.47058823529412
17	2.35294117647059
20	2
17	2.35294117647059
7	1.42857142857143
27	2.2962962962963
5	1.4
21	4.66666666666667
23	2.78260869565217
18	1.66666666666667
8	1.75
18	3.05555555555556
9	1.66666666666667
22	2.90909090909091
7	1.42857142857143
20	2.45
13	2.53846153846154
12	2.08333333333333
6	1
17	2.41176470588235
9	1.33333333333333
15	2
20	3.3
19	2.68421052631579
20	3.7
15	2
19	2.47368421052632
24	2.41666666666667
9	1.55555555555556
13	1.76923076923077
10	1.7
16	3.0625
18	1.72222222222222
18	2
10	2.2
22	2.95454545454545
6	1.5
17	2.17647058823529
17	2.47058823529412
23	2.26086956521739
11	1.81818181818182
11	1.45454545454545
35	3.14285714285714
22	2.45454545454545
10	1.5
23	2.04347826086957
9	1.88888888888889
3	1
26	3
14	2.57142857142857
16	2.0625
17	2.88235294117647
8	1.25
14	2.5
17	2.76470588235294
18	3.05555555555556
12	1.91666666666667
18	2.72222222222222
27	2.81481481481481
22	2.27272727272727
12	1.58333333333333
6	1.5
18	1.72222222222222
18	3
10	1.8
10	1.9
11	1.54545454545455
17	2.05882352941176
9	1.44444444444444
15	2.86666666666667
9	1.77777777777778
11	1.45454545454545
12	1.75
9	1.55555555555556
18	2.22222222222222
18	2.61111111111111
9	2.22222222222222
5	1.4
18	2.55555555555556
18	2.33333333333333
