"node"	"mean_edge_length"
4	1
3	0.666666666666667
11	1.72727272727273
9	1.55555555555556
18	3.27777777777778
31	2.48387096774194
11	1.27272727272727
13	2.38461538461538
11	1.72727272727273
9	1.88888888888889
28	2.78571428571429
5	1.4
5	1
6	1.33333333333333
16	3.125
25	2.48
18	2.44444444444444
14	1.85714285714286
14	1.85714285714286
37	2.27027027027027
9	2
6	1.5
4	0.75
5	0.8
3	1
6	1.83333333333333
3	1
3	1
7	1.57142857142857
9	2.55555555555556
9	1.44444444444444
8	2
4	1
4	1
11	2.45454545454545
19	2.10526315789474
4	1.5
19	1.63157894736842
24	2.45833333333333
15	2.06666666666667
17	1.88235294117647
15	1.8
11	1.72727272727273
16	1.9375
15	1.8
11	1.63636363636364
18	2.33333333333333
15	2.53333333333333
15	2
12	2.16666666666667
13	1.53846153846154
3	1
3	1
18	2.66666666666667
11	2
21	2.38095238095238
17	1.88235294117647
17	2.58823529411765
6	2
10	1.6
21	2.66666666666667
20	2.2
9	1.77777777777778
15	2.2
6	1.83333333333333
15	2.26666666666667
11	2.18181818181818
6	2
13	2.15384615384615
10	1.7
21	2.80952380952381
3	1
9	1.66666666666667
7	1.42857142857143
4	1
4	1.25
18	1.61111111111111
15	2.93333333333333
12	2.66666666666667
10	1.3
13	1.46153846153846
17	2.17647058823529
16	2.0625
3	1
9	1.88888888888889
13	2.30769230769231
11	1.90909090909091
3	1
8	1
8	1.625
40	2.95
25	2.08
14	2.71428571428571
23	2.69565217391304
14	1.92857142857143
15	2.13333333333333
21	2.76190476190476
11	1.54545454545455
11	2
23	2.04347826086957
9	1.77777777777778
8	1.25
3	1
5	1.2
10	1.3
18	2.11111111111111
11	2.09090909090909
18	2.27777777777778
5	1
5	1.4
3	1
3	1
4	1.5
8	1.875
7	1.28571428571429
8	1.625
6	1.33333333333333
3	1
16	2.0625
15	1.66666666666667
20	2.65
6	1.66666666666667
42	2.95238095238095
29	3.62068965517241
17	3.82352941176471
19	2.68421052631579
