"node"	"mean_edge_length"
18	2
10	2.2
17	2.05882352941176
18	2.77777777777778
17	3.17647058823529
18	3.22222222222222
10	1.6
6	1.5
7	2.57142857142857
3	1
25	2.2
9	1.44444444444444
3	1
12	1.75
12	2.16666666666667
25	2.6
13	1.53846153846154
15	2.33333333333333
13	2
15	1.8
39	2.51282051282051
16	2.5625
12	1.83333333333333
4	1
3	1
7	1.42857142857143
24	2.375
10	2.1
12	2.5
9	1.33333333333333
6	1.5
19	1.89473684210526
20	1.9
6	1.83333333333333
6	2.5
4	1.5
8	2.875
14	2.14285714285714
7	1.57142857142857
7	1.28571428571429
11	2
12	1.91666666666667
15	2.46666666666667
17	1.82352941176471
25	2.44
10	1.6
18	2.22222222222222
39	3.12820512820513
10	1.7
42	3.52380952380952
22	2.27272727272727
39	2.58974358974359
22	2.72727272727273
17	1.88235294117647
13	2.53846153846154
20	2.5
8	1.5
14	1.78571428571429
10	1.8
12	2.08333333333333
3	0.666666666666667
5	1.6
4	1
9	1.33333333333333
6	1
14	2.28571428571429
10	2.5
8	1.25
6	1.16666666666667
7	1.71428571428571
3	1
6	1.33333333333333
7	1.71428571428571
30	2.26666666666667
16	1.875
26	2.65384615384615
31	1.90322580645161
21	2.38095238095238
25	2.76
3	1
22	2.81818181818182
36	2.36111111111111
16	2.8125
19	2.68421052631579
9	1.66666666666667
20	2.25
19	2.94736842105263
15	2.53333333333333
6	1.83333333333333
12	1.83333333333333
23	2.78260869565217
15	1.66666666666667
14	1.92857142857143
7	1.71428571428571
8	1.625
18	1.94444444444444
20	1.6
5	1.4
34	2.20588235294118
10	2.1
17	2.05882352941176
7	2.42857142857143
4	1.5
4	1.5
10	1.5
5	1.4
11	2.09090909090909
15	2.33333333333333
14	1.71428571428571
14	2.28571428571429
3	1
10	2.1
8	1.75
4	0.75
5	1.2
6	1.83333333333333
19	2.21052631578947
14	3.35714285714286
20	1.9
24	1.95833333333333
5	1.6
8	1.625
4	1
10	2.1
14	2.07142857142857
11	2.09090909090909
11	2.27272727272727
15	2.66666666666667
17	2.47058823529412
9	2.44444444444444
36	2
26	2.53846153846154
10	1.6
24	3.16666666666667
22	3.40909090909091
16	2
13	1.84615384615385
3	1
36	2.41666666666667
19	2.15789473684211
9	2.44444444444444
29	2.44827586206897
13	1.53846153846154
47	3.87234042553191
25	2.48
11	2.36363636363636
36	2.47222222222222
3	1
20	2.85
12	2.25
26	2.34615384615385
20	2.35
27	2.25925925925926
29	2.79310344827586
29	3.27586206896552
28	2.46428571428571
16	2.3125
7	1.85714285714286
15	2.26666666666667
15	1.86666666666667
20	1.95
19	1.84210526315789
12	1.66666666666667
3	1
18	1.83333333333333
24	4.25
3	0.666666666666667
7	1.57142857142857
25	2.2
8	2.375
23	3.34782608695652
18	2.22222222222222
14	1.85714285714286
64	3.953125
19	2.47368421052632
29	3.58620689655172
11	1.72727272727273
11	1.81818181818182
6	1.5
4	1
10	2.2
12	2
22	2.90909090909091
24	2.95833333333333
27	3.96296296296296
7	1.85714285714286
17	2.11764705882353
16	2.4375
7	1.42857142857143
10	1.8
22	2.27272727272727
39	2.48717948717949
10	1.5
35	3.14285714285714
9	3.11111111111111
35	3.17142857142857
8	2.25
6	1
31	2.87096774193548
25	2.56
8	1.875
9	1.88888888888889
19	2.57894736842105
27	2
10	2.3
18	2.33333333333333
26	2.42307692307692
16	1.6875
9	2.11111111111111
32	2.28125
23	2.8695652173913
27	3.33333333333333
3	1
9	1.44444444444444
38	2.78947368421053
5	1.4
26	2.76923076923077
10	2.1
10	1.8
15	2.4
21	2.42857142857143
36	2.36111111111111
10	2
8	1.5
22	2.86363636363636
18	2
12	2.08333333333333
15	2.26666666666667
11	1.81818181818182
31	3.90322580645161
3	0.666666666666667
15	2.6
3	1
8	1.375
18	2
16	2.125
22	2.45454545454545
23	2.08695652173913
28	2.82142857142857
10	1.9
20	2.25
28	2.42857142857143
4	1.5
32	3.71875
5	2
5	1.2
13	2.15384615384615
18	2.44444444444444
22	1.86363636363636
7	1.28571428571429
25	3.4
8	1.625
14	2.5
18	2.05555555555556
19	2.15789473684211
12	2.66666666666667
8	1.875
12	2.5
44	3.27272727272727
19	2.89473684210526
20	2.6
12	2
9	1.66666666666667
12	1.75
16	2.5
15	1.93333333333333
13	1.53846153846154
23	2.73913043478261
25	2.04
11	1.63636363636364
15	2.4
7	1.42857142857143
6	1
11	1.81818181818182
16	2.25
24	2.375
15	2.33333333333333
11	2.45454545454545
12	2.66666666666667
15	1.73333333333333
15	2.06666666666667
20	2.05
14	1.92857142857143
16	3.0625
9	1.44444444444444
11	2.36363636363636
20	2.35
23	2.52173913043478
9	1.33333333333333
11	2.72727272727273
7	1.71428571428571
27	2.96296296296296
7	1.57142857142857
21	2.71428571428571
22	1.86363636363636
32	2.0625
39	2.94871794871795
25	1.92
