"node"	"mean_edge_length"
6	2
37	3.64864864864865
26	2.42307692307692
32	3.0625
24	2.79166666666667
16	3.625
22	3.5
5	1.4
5	1.2
30	2.66666666666667
21	2.42857142857143
14	1.85714285714286
15	1.86666666666667
26	3.07692307692308
37	3.21621621621622
13	1.84615384615385
11	2
7	1.42857142857143
21	2.04761904761905
28	2.28571428571429
8	1.625
33	2.72727272727273
23	1.82608695652174
18	3.5
20	2.4
12	1.75
25	2.36
21	2.42857142857143
10	1.5
3	0.666666666666667
18	2.38888888888889
40	3.425
4	1
22	2.31818181818182
24	2.33333333333333
20	2
15	2.73333333333333
14	3.21428571428571
32	3.125
19	2.63157894736842
30	3.13333333333333
13	2.76923076923077
31	2.67741935483871
11	2.18181818181818
8	1.625
32	2.59375
26	2.76923076923077
26	2.26923076923077
15	1.66666666666667
4	1
14	2.21428571428571
17	2.70588235294118
22	2.95454545454545
14	2.07142857142857
23	1.91304347826087
41	3.58536585365854
26	2.38461538461538
25	2.56
7	1.71428571428571
21	2.85714285714286
20	2.95
17	1.70588235294118
15	1.93333333333333
22	2.27272727272727
29	3.89655172413793
15	2.06666666666667
23	2.34782608695652
23	3.47826086956522
29	3.3448275862069
30	2.66666666666667
12	2
12	1.66666666666667
21	2.80952380952381
26	2.61538461538462
5	2
23	2.34782608695652
15	1.8
29	2.41379310344828
13	2.38461538461538
25	2.88
12	1.66666666666667
14	2.07142857142857
22	3
13	2.15384615384615
35	4.11428571428571
18	1.72222222222222
24	3.04166666666667
22	3.27272727272727
7	1.14285714285714
18	2.11111111111111
24	2.04166666666667
32	2.625
19	2.36842105263158
31	2.90322580645161
26	2.42307692307692
28	3.17857142857143
31	2.61290322580645
27	2.62962962962963
8	1.5
6	1.16666666666667
20	2.15
17	2.35294117647059
36	2.47222222222222
25	2.28
18	2.33333333333333
32	3.625
23	2.39130434782609
47	4.31914893617021
21	2.23809523809524
28	2.53571428571429
10	2.1
41	2.5609756097561
23	2.17391304347826
24	2.58333333333333
46	3.26086956521739
24	2.75
29	3.58620689655172
22	2.36363636363636
13	2.15384615384615
19	1.94736842105263
16	2.5
13	2.23076923076923
31	3.16129032258065
14	1.57142857142857
15	1.73333333333333
29	2.93103448275862
13	1.92307692307692
10	1.8
19	2.42105263157895
28	2.60714285714286
15	2.26666666666667
18	2.22222222222222
31	2.41935483870968
17	2
26	2.73076923076923
31	2.67741935483871
7	1.42857142857143
4	1.5
5	0.8
13	1.76923076923077
24	2.83333333333333
20	2.35
7	1.57142857142857
14	2
16	1.9375
29	3.48275862068966
28	3.42857142857143
24	2.875
21	1.85714285714286
9	1.44444444444444
24	2.66666666666667
18	2.94444444444444
14	1.64285714285714
17	2.94117647058824
19	2.52631578947368
20	2.35
22	2.63636363636364
11	2
23	3.1304347826087
27	2.44444444444444
18	2.27777777777778
19	1.89473684210526
21	1.9047619047619
15	2.66666666666667
10	1.6
8	1.5
8	1.875
19	2
12	2.16666666666667
8	1.625
17	2.29411764705882
15	1.73333333333333
15	2.06666666666667
22	2.5
18	2.22222222222222
17	2.17647058823529
26	3.23076923076923
9	1.77777777777778
12	2
22	1.81818181818182
18	2.83333333333333
32	2.8125
29	2.44827586206897
8	2.25
16	2.1875
22	2.77272727272727
12	2
19	2.68421052631579
21	3.14285714285714
36	3.52777777777778
12	1.91666666666667
29	2.20689655172414
16	2.125
37	2.7027027027027
41	2.82926829268293
57	3.49122807017544
52	2.5
10	2
22	2.81818181818182
8	1.75
30	3.3
24	2.79166666666667
14	1.78571428571429
30	3
11	1.45454545454545
26	2.84615384615385
29	3.10344827586207
23	2.21739130434783
23	2.69565217391304
20	2.95
21	2.19047619047619
26	3.80769230769231
35	2.42857142857143
38	3.26315789473684
4	0.75
19	2.10526315789474
12	1.83333333333333
25	2.48
14	2.07142857142857
8	1.375
7	1.85714285714286
13	2.46153846153846
24	2.20833333333333
31	2.87096774193548
34	2.32352941176471
16	1.625
45	3.42222222222222
38	2.42105263157895
10	2.3
27	2.7037037037037
15	3.26666666666667
40	2.425
31	3.19354838709677
13	2.38461538461538
8	2
40	2.825
46	2.56521739130435
16	1.8125
9	1.33333333333333
19	2.57894736842105
17	2.05882352941176
21	1.80952380952381
28	3.17857142857143
34	2.73529411764706
20	1.75
19	2.52631578947368
16	2.1875
21	2.57142857142857
26	2.5
29	3.06896551724138
17	2
16	1.875
9	1.77777777777778
33	3.81818181818182
22	2.09090909090909
18	2
19	2.05263157894737
23	2.52173913043478
21	2.80952380952381
30	3
21	2.52380952380952
30	2.1
17	2.35294117647059
24	2.75
22	2.77272727272727
41	3.26829268292683
9	2
38	2.44736842105263
50	3.86
21	2.33333333333333
17	2.17647058823529
10	2.5
16	2.5625
20	2.7
49	3.22448979591837
25	2.96
36	2.63888888888889
27	2.11111111111111
19	2.42105263157895
41	2.21951219512195
4	1
41	3.29268292682927
44	3.95454545454545
27	2.74074074074074
40	3.35
18	2.27777777777778
36	2.58333333333333
11	2.36363636363636
14	2.85714285714286
8	2
47	2.48936170212766
13	1.92307692307692
28	2.28571428571429
45	2.91111111111111
29	3
30	3.16666666666667
7	1.71428571428571
36	3.22222222222222
3	1
5	1.2
31	2.96774193548387
18	1.94444444444444
10	1.8
26	2.42307692307692
16	2.5625
18	1.77777777777778
17	2.23529411764706
16	2
17	1.76470588235294
23	2.95652173913043
45	3.51111111111111
25	2.92
23	2.47826086956522
39	2.38461538461538
16	3.125
27	2.44444444444444
28	2.42857142857143
23	2.39130434782609
14	2.07142857142857
28	2.42857142857143
10	1.9
35	3.91428571428571
22	2.04545454545455
19	2.68421052631579
26	2.73076923076923
30	2.13333333333333
13	1.69230769230769
14	2
25	2.56
36	1.94444444444444
10	2.1
25	2.2
14	1.92857142857143
26	2.30769230769231
15	1.53333333333333
10	1.4
20	2.05
23	1.91304347826087
38	2.47368421052632
21	3.19047619047619
21	3.23809523809524
18	2.11111111111111
14	2.28571428571429
29	2.51724137931034
18	2.33333333333333
17	1.88235294117647
30	3.16666666666667
10	1.7
33	3.06060606060606
21	1.85714285714286
40	2.4
24	2.625
14	1.85714285714286
27	2.55555555555556
12	2.41666666666667
21	1.80952380952381
31	2.93548387096774
25	1.8
25	2.64
29	1.93103448275862
21	2.28571428571429
35	3.2
29	2.55172413793103
20	1.9
29	2.96551724137931
25	2.56
29	1.89655172413793
19	2
18	2.05555555555556
13	2.38461538461538
37	2.54054054054054
26	3.84615384615385
19	3.26315789473684
18	1.88888888888889
26	2.53846153846154
17	2.41176470588235
25	6.04
15	2.93333333333333
18	2.77777777777778
54	2.98148148148148
35	2.88571428571429
12	2
17	3.76470588235294
52	2.80769230769231
14	2.07142857142857
32	3.09375
12	1.66666666666667
34	3.26470588235294
15	2.4
22	2.54545454545455
30	3
24	2.20833333333333
16	2.125
13	1.76923076923077
34	2.26470588235294
35	3.91428571428571
8	2.25
14	1.71428571428571
27	3.11111111111111
30	2.53333333333333
12	1.91666666666667
29	2.62068965517241
23	2.73913043478261
36	3.13888888888889
14	2.14285714285714
17	2.52941176470588
20	2.25
12	1.75
20	2.65
16	3
19	2.94736842105263
27	2.66666666666667
4	1
24	2.79166666666667
19	2.94736842105263
39	3.87179487179487
25	2.8
14	2.14285714285714
17	2.64705882352941
15	1.86666666666667
16	2.375
6	2
44	2.70454545454545
16	2.3125
15	2.4
16	2.0625
16	1.8125
37	2.56756756756757
24	2.29166666666667
31	2.48387096774194
16	2.625
14	2
23	2.60869565217391
13	1.69230769230769
18	2.33333333333333
54	3.42592592592593
4	1
15	2.13333333333333
21	3.04761904761905
12	1.91666666666667
11	1.72727272727273
10	2.1
34	2.55882352941176
28	3.03571428571429
30	2.96666666666667
13	2.30769230769231
11	2.18181818181818
21	2.28571428571429
15	1.86666666666667
18	2.55555555555556
37	3.24324324324324
19	2.47368421052632
33	3.09090909090909
12	1.5
22	2.45454545454545
4	1.25
3	1
12	2
19	2.52631578947368
4	1.5
26	2.80769230769231
13	2.15384615384615
7	1.85714285714286
17	2.58823529411765
16	3.25
23	2.78260869565217
3	1
6	1.5
11	2.36363636363636
23	2.52173913043478
21	2.9047619047619
10	1.7
8	1.75
23	3
4	1
12	2.33333333333333
14	2.78571428571429
21	2.42857142857143
24	2.95833333333333
6	1.5
5	2
13	1.69230769230769
4	1
9	1.77777777777778
11	2.27272727272727
24	3.20833333333333
4	1.5
16	1.75
33	2.57575757575758
17	1.76470588235294
23	2.69565217391304
11	2.09090909090909
27	2.7037037037037
19	2.36842105263158
12	1.83333333333333
26	3.15384615384615
30	2.46666666666667
4	1.5
22	2.72727272727273
5	1.4
13	3.07692307692308
19	3.84210526315789
16	2.75
5	2
4	1
14	3.21428571428571
8	2.75
10	2.3
51	12.4509803921569
28	6.85714285714286
23	8.39130434782609
26	2.88461538461538
6	1.5
18	5.94444444444444
26	8.80769230769231
10	1.9
57	17.8421052631579
25	6.28
20	3.15
18	2.72222222222222
13	1.76923076923077
39	7.12820512820513
18	2.27777777777778
4	1.5
36	5.5
4	1.5
7	1.85714285714286
18	2.61111111111111
25	2.96
11	1.81818181818182
14	2.14285714285714
12	1.83333333333333
7	1.85714285714286
19	2.63157894736842
14	2.57142857142857
23	3.26086956521739
13	1.69230769230769
26	2.92307692307692
24	2.29166666666667
31	2.32258064516129
20	2.35
11	1.63636363636364
16	2.8125
30	2.3
31	2.51612903225806
17	2.41176470588235
29	3.20689655172414
25	2.84
18	2
28	2.89285714285714
24	1.91666666666667
25	2.36
25	2.28
11	2.09090909090909
9	1.66666666666667
18	2.61111111111111
30	3.13333333333333
19	2.57894736842105
22	2.31818181818182
13	1.84615384615385
15	2.66666666666667
22	2.45454545454545
21	2.42857142857143
23	2.30434782608696
13	1.38461538461538
16	2
30	2.43333333333333
18	2.11111111111111
20	2.95
28	2.67857142857143
24	2.41666666666667
25	3.48
23	2.73913043478261
39	2.20512820512821
26	2.88461538461538
25	2.28
23	2.08695652173913
26	2.88461538461538
30	2.33333333333333
53	3.75471698113208
25	2.08
8	1.75
32	2.125
15	2.13333333333333
24	1.79166666666667
30	2.4
26	2.65384615384615
27	1.85185185185185
16	2
22	2.27272727272727
9	1.66666666666667
34	2.29411764705882
23	2.82608695652174
14	2.21428571428571
7	1.42857142857143
45	3.11111111111111
23	3.21739130434783
20	2.25
20	2.05
8	1.75
12	1.83333333333333
20	2.55
22	2.31818181818182
19	2.42105263157895
16	2.0625
21	2.14285714285714
10	1.8
6	1.16666666666667
14	2.07142857142857
22	1.86363636363636
20	2.5
17	2.05882352941176
28	2.78571428571429
25	2.96
39	2.82051282051282
13	2.61538461538462
12	2.41666666666667
15	2.46666666666667
5	1
17	2.41176470588235
12	2.08333333333333
10	1.8
16	2.3125
15	3.13333333333333
46	2.28260869565217
28	2.67857142857143
20	2.85
12	1.91666666666667
8	1.75
17	2.11764705882353
24	2.25
17	2.11764705882353
10	2.2
25	2.64
9	1.77777777777778
12	2.16666666666667
8	1.5
7	1.28571428571429
6	1.16666666666667
12	2.33333333333333
34	2.73529411764706
