"node"	"mean_edge_length"
7	1.57142857142857
9	2.22222222222222
19	3.26315789473684
14	2.57142857142857
15	2.4
16	2.125
16	1.875
11	1.81818181818182
18	4.38888888888889
3	0.666666666666667
10	1.7
7	1.28571428571429
3	0.666666666666667
3	0.666666666666667
8	1.875
10	1.8
30	2.83333333333333
7	1.57142857142857
6	1.16666666666667
9	1.88888888888889
3	0.666666666666667
5	1.2
3	0.666666666666667
6	1.66666666666667
13	3.15384615384615
7	1.85714285714286
6	1.83333333333333
9	1.88888888888889
6	1.33333333333333
10	2.7
9	1.33333333333333
7	1.71428571428571
7	1.57142857142857
4	1.25
4	1
4	1
5	2
5	1.4
4	1
5	1.4
5	1
7	1.57142857142857
5	1.4
6	1.5
5	1.4
5	1.2
7	1
4	0.75
3	0.666666666666667
11	1.63636363636364
6	1.33333333333333
6	1.5
3	0.666666666666667
4	1.25
10	1.8
3	1
9	1.44444444444444
6	1.5
8	2.125
3	1
4	1
5	1
10	1.6
4	1.25
3	0.666666666666667
5	1.2
6	1.16666666666667
6	1.33333333333333
5	1.2
5	2
5	1.4
7	1.57142857142857
7	1.57142857142857
6	1.16666666666667
7	1.57142857142857
3	1
12	2.16666666666667
5	2
4	1.25
5	1.4
3	0.666666666666667
3	0.666666666666667
3	0.666666666666667
4	1.5
9	2
3	0.666666666666667
6	1.83333333333333
4	1
3	1
3	1
6	1.83333333333333
5	1.2
8	2
8	1.375
8	2.125
4	0.75
4	0.75
4	1
5	1
3	0.666666666666667
5	1.4
3	0.666666666666667
5	1.4
8	1.75
5	1
4	1
4	1
5	1.2
4	1
4	1
7	2.28571428571429
4	1
6	1.5
3	0.666666666666667
4	0.75
7	1.28571428571429
5	1
3	0.666666666666667
4	1
3	0.666666666666667
8	2.5
3	0.666666666666667
5	1.4
4	0.75
6	1.83333333333333
7	2.28571428571429
6	1.83333333333333
4	1
3	0.666666666666667
8	2.25
4	1
11	1.63636363636364
14	2.42857142857143
6	1.33333333333333
15	2.46666666666667
10	1.7
16	1.75
13	1.76923076923077
19	1.89473684210526
11	1.63636363636364
8	1.25
12	1.75
8	2
22	3.18181818181818
10	2.2
21	2.28571428571429
15	2
7	1.85714285714286
7	1.42857142857143
12	1.66666666666667
11	1.81818181818182
9	1.44444444444444
11	2
12	2.58333333333333
19	2.21052631578947
10	3.2
15	2.2
4	1
11	1.81818181818182
8	1.375
5	2
18	2
13	1.61538461538462
11	1.81818181818182
12	1.58333333333333
16	2.5625
29	2.24137931034483
11	2.27272727272727
26	2.61538461538462
18	2.55555555555556
13	2
21	3.47619047619048
6	2.5
14	2.14285714285714
9	1.77777777777778
9	1.55555555555556
13	1.76923076923077
3	1
5	1
10	2.1
18	1.94444444444444
5	1.2
13	1.92307692307692
17	2.58823529411765
14	1.71428571428571
17	1.70588235294118
8	1.375
8	1.625
7	1.71428571428571
22	2.18181818181818
16	2.125
14	1.85714285714286
11	1.90909090909091
15	2.93333333333333
14	2.21428571428571
17	2.29411764705882
4	1
11	1.63636363636364
12	2.66666666666667
12	2.58333333333333
8	1.875
8	2
20	1.85
10	1.9
9	1.66666666666667
10	1.6
10	1.2
18	2.66666666666667
12	1.91666666666667
4	1
6	2.16666666666667
10	2.5
28	2.57142857142857
17	2.82352941176471
7	1.57142857142857
10	1.2
19	2.84210526315789
13	1.61538461538462
6	2
11	1.72727272727273
17	1.88235294117647
8	1.5
24	2.16666666666667
7	1.28571428571429
11	3.54545454545455
12	2.16666666666667
15	2.13333333333333
28	3.03571428571429
5	1.8
8	1.25
12	3.41666666666667
12	1.5
18	2.38888888888889
7	1.42857142857143
15	2.2
11	2.36363636363636
10	2.2
4	1
9	2
11	2.27272727272727
5	1.8
6	1.16666666666667
10	2.1
9	1.55555555555556
14	1.78571428571429
6	1.16666666666667
6	1
12	2.5
19	3.63157894736842
6	1.33333333333333
15	2.13333333333333
8	1.625
11	2
14	1.78571428571429
4	1.25
10	1.9
5	1.4
13	2.15384615384615
14	2.42857142857143
14	2.14285714285714
11	1.72727272727273
29	2.6551724137931
8	1.5
14	2.28571428571429
22	2.27272727272727
5	2
4	1.25
13	3.15384615384615
7	1.42857142857143
26	3.30769230769231
14	1.64285714285714
8	1.75
12	1.66666666666667
12	1.75
13	2.23076923076923
17	2.23529411764706
18	2.83333333333333
24	3.375
7	1.57142857142857
10	2.1
13	1.61538461538462
18	2.55555555555556
16	2.75
5	1.8
10	2.6
8	1.5
9	2
3	0.666666666666667
7	1.42857142857143
7	2.28571428571429
5	1
5	1.4
7	1.57142857142857
4	1
6	1.5
4	1
5	1.2
5	1.4
4	1
4	0.75
11	2.72727272727273
5	1.2
4	1
3	0.666666666666667
5	1
6	1.16666666666667
6	1.16666666666667
3	0.666666666666667
4	0.75
11	1.72727272727273
4	1
5	1.4
8	1.75
4	0.75
4	0.75
5	1
3	0.666666666666667
5	1.2
6	1.5
5	1.4
5	1.2
4	1
4	1
10	2.1
5	1.2
4	1
3	0.666666666666667
4	0.75
6	0.833333333333333
6	1
4	1
5	1.4
5	1.2
8	2.625
5	1.4
6	1.83333333333333
7	1.71428571428571
11	1.90909090909091
6	1.5
6	1.5
4	1
3	0.666666666666667
4	1
5	0.8
10	1.3
10	2.2
5	1.4
4	1
3	0.666666666666667
5	2
6	1.5
6	1.33333333333333
7	1.57142857142857
14	2.5
7	1.57142857142857
5	1
3	0.666666666666667
8	2.375
5	1.4
4	1
5	1.4
4	1
3	0.666666666666667
5	1.2
7	2.28571428571429
6	1.33333333333333
