"node"	"mean_edge_length"
25	2.08
18	2.66666666666667
8	1.625
11	2
12	1.83333333333333
8	1.5
9	1.66666666666667
6	1.5
14	2
7	1.71428571428571
16	2.1875
10	1.8
18	2.27777777777778
4	0.75
7	1.42857142857143
13	1.92307692307692
7	1.42857142857143
5	1
13	2.53846153846154
14	2.07142857142857
5	1
8	2.125
7	1.28571428571429
10	1.9
12	2.41666666666667
14	2.07142857142857
6	1
12	2.75
21	2.33333333333333
14	2.07142857142857
5	1.4
10	1.5
12	2.08333333333333
4	1
13	1.38461538461538
27	2.62962962962963
6	1
8	1.625
8	1.5
16	2.4375
8	1.125
5	1
17	1.82352941176471
8	2
12	2.83333333333333
14	2
12	1.75
17	1.94117647058824
10	1.6
8	1.5
15	2.13333333333333
11	1.81818181818182
13	1.92307692307692
15	2.06666666666667
4	0.75
20	2.3
12	1.75
17	1.82352941176471
14	1.78571428571429
8	1.375
15	1.6
4	1
13	1.46153846153846
5	2
19	2.31578947368421
13	2.07692307692308
13	1.61538461538462
4	1
7	1.28571428571429
14	2
6	1.16666666666667
3	0.666666666666667
10	1.7
7	1.42857142857143
14	2.5
30	2.76666666666667
18	2.27777777777778
8	2.625
6	2.16666666666667
4	1
29	3.20689655172414
12	2
18	2.61111111111111
19	2.15789473684211
12	1.91666666666667
14	1.92857142857143
14	2.42857142857143
6	1
30	2.23333333333333
17	2.35294117647059
18	2.11111111111111
10	1.7
18	2.44444444444444
7	1.42857142857143
9	1.88888888888889
12	2.5
3	0.666666666666667
8	1.125
14	2.07142857142857
10	1.8
6	1.16666666666667
13	1.53846153846154
10	1.5
5	1.4
13	2
15	2.13333333333333
15	2.73333333333333
7	1.42857142857143
10	1.8
5	1.4
4	0.75
7	1.42857142857143
15	2
10	2.1
11	2.18181818181818
7	1.71428571428571
9	1.77777777777778
16	3.0625
7	1.57142857142857
4	1
11	1.72727272727273
4	0.75
16	3.5625
6	1.33333333333333
9	1.44444444444444
13	2.07692307692308
11	2.81818181818182
9	1.66666666666667
9	1.77777777777778
10	2.3
8	1.625
9	1.33333333333333
7	1.71428571428571
4	1
18	2
18	1.94444444444444
11	1.90909090909091
6	1.33333333333333
23	2.47826086956522
14	2.35714285714286
9	1.55555555555556
5	1.4
5	2
12	2.08333333333333
7	1.42857142857143
26	2.61538461538462
14	1.57142857142857
29	2.27586206896552
4	1
13	1.53846153846154
5	1.8
14	1.85714285714286
7	2.14285714285714
9	1.33333333333333
8	1.625
5	1
7	1.57142857142857
5	0.8
4	0.75
5	2
11	2.18181818181818
15	2.6
11	1.90909090909091
10	1.6
8	1.5
8	1.625
10	2.2
