"node"	"mean_edge_length"
7	1.42857142857143
11	2.36363636363636
24	3.29166666666667
17	2.88235294117647
10	2.2
15	2.8
20	2.7
25	2.72
20	2.55
17	2.82352941176471
8	1.625
15	2.8
14	1.5
10	2.7
15	3.26666666666667
23	2.78260869565217
9	1.66666666666667
8	2.375
14	2.71428571428571
6	1.16666666666667
4	1.25
25	2.88
11	2.09090909090909
12	2.83333333333333
10	2.2
15	2.53333333333333
21	3.14285714285714
16	3
14	3.5
22	3.09090909090909
3	0.666666666666667
14	2.57142857142857
11	2.54545454545455
14	2.64285714285714
9	2.33333333333333
10	1.9
11	1.90909090909091
10	1.4
4	1
22	3.63636363636364
9	2.88888888888889
17	1.88235294117647
16	2.375
4	1.5
24	3.29166666666667
11	2.09090909090909
10	2
10	1.7
4	1
20	3.1
16	2.1875
5	1.6
18	3.16666666666667
17	3.58823529411765
9	1.88888888888889
3	0.666666666666667
8	1.375
17	2.29411764705882
13	2.07692307692308
22	2.81818181818182
3	0.666666666666667
14	3.07142857142857
8	1.375
23	2.69565217391304
8	1.625
4	1
11	1.90909090909091
16	3.125
11	1.81818181818182
4	0.75
14	2.21428571428571
20	3.5
13	2.76923076923077
7	1.71428571428571
3	1
10	2.3
28	2.60714285714286
22	3.54545454545455
14	2.92857142857143
19	2.52631578947368
16	3.4375
9	2.22222222222222
16	2.4375
24	3.375
23	2.82608695652174
4	1.5
17	2
40	3.9
34	3.82352941176471
11	1.90909090909091
5	1.4
15	3.13333333333333
17	3.70588235294118
23	3.43478260869565
10	2.9
10	2
14	3.28571428571429
18	2.61111111111111
3	1
4	1
3	1
19	3.52631578947368
27	3.48148148148148
9	1.44444444444444
19	3.05263157894737
17	4.17647058823529
5	1
15	3.46666666666667
10	2
13	3.69230769230769
3	1
8	1.5
16	3.25
23	3.1304347826087
6	1.66666666666667
15	3.33333333333333
15	3.06666666666667
18	3.11111111111111
5	1
3	1
10	1.9
23	2.56521739130435
18	3.05555555555556
24	2.70833333333333
20	3.1
18	2.61111111111111
10	1.9
14	2.21428571428571
7	1.57142857142857
5	1
5	1
3	1
27	3.25925925925926
12	1.91666666666667
11	2.36363636363636
18	2.33333333333333
3	1
6	1.83333333333333
13	2.69230769230769
18	3.16666666666667
18	3.27777777777778
10	1.9
24	3.625
10	2.1
24	4.08333333333333
19	2.21052631578947
9	2.33333333333333
16	2.625
24	3.79166666666667
12	2.66666666666667
17	3.35294117647059
10	2.2
11	2.18181818181818
24	3.83333333333333
9	2.11111111111111
16	2
34	4.38235294117647
15	3
25	3.2
4	1
7	1.85714285714286
12	1.58333333333333
13	2.38461538461538
10	2.1
13	2.84615384615385
17	2.29411764705882
15	2
9	1.44444444444444
7	1.85714285714286
13	1.61538461538462
25	3.2
19	2.73684210526316
15	3.4
28	2.89285714285714
15	1.73333333333333
23	5.04347826086957
24	3.29166666666667
27	3.59259259259259
22	4.31818181818182
6	1.33333333333333
17	3.11764705882353
14	2.78571428571429
31	3.67741935483871
10	2.7
13	1.84615384615385
12	2.41666666666667
14	1.71428571428571
26	3.53846153846154
10	3.7
10	2.1
24	3.45833333333333
11	2.45454545454545
14	2.28571428571429
10	1.8
26	3
6	1.33333333333333
19	4.21052631578947
8	2.125
13	2.07692307692308
10	1.7
9	1.66666666666667
17	2.76470588235294
17	2.58823529411765
24	3.29166666666667
33	3.45454545454545
10	1.9
15	2.6
8	1.5
10	2.1
15	2.26666666666667
14	2.85714285714286
6	1.16666666666667
11	1.72727272727273
15	2.33333333333333
10	2.1
19	3.57894736842105
10	1.6
13	2.15384615384615
15	2.73333333333333
6	1
7	1.14285714285714
13	1.84615384615385
13	1.53846153846154
17	2.76470588235294
8	1.625
12	2.33333333333333
10	1.9
21	3.38095238095238
20	3.5
8	1.25
16	4.1875
13	3
18	3
10	2.2
4	1
4	1.5
12	2.41666666666667
26	3.34615384615385
22	4.36363636363636
16	2.5625
17	3.23529411764706
12	2.08333333333333
11	3.45454545454545
16	1.9375
15	2.46666666666667
29	6.03448275862069
17	3.11764705882353
7	1.85714285714286
7	1.85714285714286
7	1.42857142857143
11	2.09090909090909
26	3.5
7	1.42857142857143
12	3.5
3	1
14	2.92857142857143
17	3.29411764705882
12	2.66666666666667
17	2.41176470588235
23	3.47826086956522
13	2.84615384615385
19	3.57894736842105
4	1.5
16	2.1875
6	1.16666666666667
4	1
14	2.57142857142857
7	1.28571428571429
24	3.16666666666667
15	3.26666666666667
4	1
19	2.21052631578947
11	1.81818181818182
15	2.66666666666667
11	2.63636363636364
11	2.09090909090909
5	1.4
24	3.54166666666667
12	2.66666666666667
12	2.58333333333333
11	1.81818181818182
3	0.666666666666667
14	2.92857142857143
13	2.07692307692308
23	4.1304347826087
11	1.72727272727273
8	1.75
8	2.75
4	1
5	1.4
13	2.07692307692308
26	3
17	3.05882352941176
12	1.91666666666667
9	1.55555555555556
19	3.21052631578947
26	2.69230769230769
8	1.75
16	3.875
18	3.55555555555556
22	3.18181818181818
6	1.5
9	1.66666666666667
16	3
14	3.07142857142857
14	2.28571428571429
6	1.5
11	1.54545454545455
12	2.25
17	1.82352941176471
11	2.18181818181818
6	2.33333333333333
19	3.15789473684211
14	2.85714285714286
9	2.33333333333333
5	1
13	1.92307692307692
13	1.84615384615385
10	2.4
11	2.63636363636364
4	1
20	3
17	2.94117647058824
17	3.58823529411765
19	2.68421052631579
11	2.36363636363636
17	2.94117647058824
10	2.9
12	2.33333333333333
8	1.5
14	3.71428571428571
8	1.75
5	1.2
3	1
16	2.4375
31	3.61290322580645
21	2.57142857142857
14	1.85714285714286
21	3.33333333333333
12	2.66666666666667
22	2.68181818181818
7	2
21	2.76190476190476
20	2.15
29	3.48275862068966
9	1.77777777777778
16	2.6875
20	2.55
10	2
11	1.90909090909091
14	2.21428571428571
3	1
13	2.92307692307692
22	3.13636363636364
11	2.36363636363636
4	1
9	1.66666666666667
13	2.30769230769231
3	1
8	1.5
14	2.71428571428571
4	1
17	3.17647058823529
5	1
5	1
9	1.88888888888889
4	1
38	4
25	3.76
18	3.16666666666667
22	3.22727272727273
11	2.54545454545455
23	3
11	1.72727272727273
15	2.73333333333333
18	2.88888888888889
15	2.46666666666667
26	3.34615384615385
18	3.16666666666667
9	1.66666666666667
22	6.22727272727273
22	4.5
28	3.96428571428571
10	1.8
9	2.11111111111111
18	3
12	2.5
7	2.28571428571429
12	2.16666666666667
17	2.88235294117647
36	3.33333333333333
9	2.11111111111111
8	2
17	3.23529411764706
11	2
10	2.4
6	1.5
11	2.45454545454545
16	3.3125
4	0.75
14	1.85714285714286
29	2.58620689655172
19	2.63157894736842
16	4.125
7	1.71428571428571
21	3.0952380952381
29	3.13793103448276
15	3.53333333333333
5	1.4
5	1.2
3	0.666666666666667
5	1
3	1
18	2.61111111111111
20	2.55
25	3.84
24	3.91666666666667
16	1.875
9	1.88888888888889
21	2.38095238095238
27	2.74074074074074
21	4.04761904761905
8	1.375
15	2.46666666666667
33	3.84848484848485
20	3.6
21	2.38095238095238
4	1
7	1.28571428571429
12	2.58333333333333
17	2.94117647058824
11	2.09090909090909
6	1.5
11	2.09090909090909
16	1.75
12	2.41666666666667
16	3
9	1.88888888888889
9	1.44444444444444
15	2.06666666666667
8	2
7	1.71428571428571
3	1
5	1.4
42	2.97619047619048
11	1.72727272727273
24	3.04166666666667
17	2.29411764705882
17	1.82352941176471
33	4.39393939393939
9	1.66666666666667
3	0.666666666666667
12	1.83333333333333
15	1.46666666666667
16	2.5
19	2.26315789473684
33	3.3030303030303
14	2.78571428571429
19	3.21052631578947
33	3.72727272727273
17	3.35294117647059
14	2.28571428571429
10	2.3
22	3.81818181818182
19	2.68421052631579
16	2.875
9	2.33333333333333
35	3.85714285714286
26	3.26923076923077
17	3.88235294117647
41	3.78048780487805
15	2.86666666666667
18	2.94444444444444
12	3.5
28	3.14285714285714
11	2.54545454545455
11	2.63636363636364
24	3
10	1.6
8	1.75
7	2.28571428571429
5	2
13	3.23076923076923
16	2
17	3.35294117647059
3	1
3	1
16	2.875
44	4.09090909090909
5	1.8
8	1.875
23	3.39130434782609
9	1.55555555555556
20	2.35
9	1.44444444444444
5	1.2
20	4.15
21	2.52380952380952
6	1.5
13	1.92307692307692
31	4.93548387096774
22	3.36363636363636
25	3.64
26	3.57692307692308
23	3.08695652173913
21	2.71428571428571
27	3.25925925925926
19	2.94736842105263
16	2.875
9	1.66666666666667
11	3.27272727272727
60	4
25	4.2
17	3.11764705882353
12	2.33333333333333
14	2.64285714285714
16	2.5
8	2.25
14	3.21428571428571
32	4.3125
11	2.09090909090909
10	2
7	1.28571428571429
30	2.56666666666667
13	2.61538461538462
11	2
20	4.6
15	2.13333333333333
24	3.375
25	3.28
21	2.80952380952381
30	4.26666666666667
18	3.27777777777778
34	5.47058823529412
16	3.375
27	4.92592592592593
4	1
5	1
3	1
11	1.90909090909091
25	3.52
17	2.76470588235294
27	3.96296296296296
19	3.73684210526316
8	2.125
10	1.8
9	1.77777777777778
12	1.83333333333333
21	3.95238095238095
25	4.2
8	1.75
20	2.4
14	2.35714285714286
15	2.2
21	2.76190476190476
7	1.71428571428571
16	2.125
14	2.21428571428571
30	3.43333333333333
3	0.666666666666667
5	1.4
3	1
23	2.69565217391304
11	2.54545454545455
9	1.88888888888889
15	2.73333333333333
12	1.5
9	2.11111111111111
11	2
17	3.35294117647059
12	2.41666666666667
38	3.60526315789474
21	3.04761904761905
12	2.33333333333333
13	2.69230769230769
15	2.66666666666667
7	1.57142857142857
13	4.38461538461539
6	1.83333333333333
25	3.32
18	2.72222222222222
12	2.33333333333333
7	1.85714285714286
8	2.75
6	1.33333333333333
9	1.88888888888889
22	3.09090909090909
23	3.30434782608696
27	4.40740740740741
16	3.375
18	3.16666666666667
25	3.32
28	2.82142857142857
22	3.81818181818182
30	3.33333333333333
40	4.25
16	2.5
16	3.375
10	1.6
11	2.54545454545455
13	2.23076923076923
17	2.64705882352941
10	2.4
10	1.9
19	3.68421052631579
9	1.77777777777778
15	2.66666666666667
18	1.83333333333333
10	2.2
21	2.80952380952381
34	3.35294117647059
13	2.23076923076923
21	3.14285714285714
9	1.77777777777778
5	1.2
10	2.4
6	2.16666666666667
11	1.63636363636364
3	1
35	3.91428571428571
35	3.2
23	2.8695652173913
29	3.72413793103448
12	2.66666666666667
25	2.36
30	3.8
13	2.07692307692308
19	2.57894736842105
17	2.05882352941176
25	3.2
29	2.93103448275862
27	3.07407407407407
14	2.07142857142857
12	2.33333333333333
5	1
8	1.5
8	2
30	2.76666666666667
17	4.17647058823529
10	1.6
8	1.875
6	1.5
8	2.25
5	1.4
16	2.75
31	3.38709677419355
31	4.7741935483871
18	2.5
10	1.9
11	2.27272727272727
24	3.83333333333333
13	2.07692307692308
7	1.85714285714286
20	2.55
11	1.63636363636364
25	3.08
10	2.1
9	2.11111111111111
15	2.86666666666667
11	2.72727272727273
17	3.82352941176471
48	5
14	2.57142857142857
14	2.07142857142857
20	3
11	2.27272727272727
10	2.2
25	3
16	2.0625
10	1.8
15	2.4
12	3.33333333333333
17	2.88235294117647
10	2
13	2.38461538461538
4	1
18	2.11111111111111
23	4.69565217391304
5	2
8	1.625
11	2.54545454545455
4	0.75
7	1.85714285714286
25	3.08
29	3.06896551724138
56	5.76785714285714
32	2.96875
15	3.4
17	3.17647058823529
28	2.96428571428571
33	5.03030303030303
17	2.88235294117647
9	3.33333333333333
3	0.666666666666667
7	1.14285714285714
20	2.3
18	4.22222222222222
11	2
9	1.88888888888889
13	1.76923076923077
16	2.75
9	2.11111111111111
10	1.9
