"node"	"mean_edge_length"
25	2.76
26	2.96153846153846
41	3.58536585365854
31	3.29032258064516
53	3.84905660377358
27	2.37037037037037
21	3.33333333333333
20	2.8
41	3.82926829268293
18	2.22222222222222
23	2.82608695652174
10	1.8
30	3.36666666666667
35	2.85714285714286
29	2.55172413793103
26	2.80769230769231
29	3.79310344827586
20	2.8
33	3.57575757575758
23	2.47826086956522
35	3.94285714285714
19	2.21052631578947
31	3
25	3.8
41	4.60975609756098
49	3.18367346938776
15	2.26666666666667
32	2.96875
50	4.56
40	2.675
56	3.53571428571429
14	3.07142857142857
14	1.85714285714286
20	2.1
19	2.05263157894737
20	2
35	3.34285714285714
24	2.66666666666667
20	2.8
25	3.2
47	4.02127659574468
27	2.92592592592593
46	3.34782608695652
30	4.16666666666667
36	2.63888888888889
15	2.4
11	1.54545454545455
24	2.95833333333333
27	3.40740740740741
17	2.82352941176471
55	3.72727272727273
21	2.57142857142857
22	2.86363636363636
29	3.51724137931034
12	2
10	2.8
19	2.84210526315789
36	3.02777777777778
30	2.76666666666667
53	3.52830188679245
33	3.75757575757576
23	2.60869565217391
41	4.90243902439024
17	2.58823529411765
13	2.23076923076923
36	4.41666666666667
7	1.57142857142857
18	2.5
14	2.21428571428571
15	1.6
24	3.25
16	2.25
29	4.27586206896552
8	1.25
20	3.4
30	2.8
22	2.63636363636364
25	2.76
13	1.92307692307692
21	2.9047619047619
13	1.76923076923077
16	2.375
7	1.57142857142857
13	1.69230769230769
13	1.84615384615385
33	2.54545454545455
14	1.92857142857143
16	2.4375
6	1.16666666666667
15	2.13333333333333
31	3.06451612903226
7	1.57142857142857
18	2.55555555555556
11	1.63636363636364
13	2.07692307692308
29	2.3448275862069
15	2.53333333333333
18	2.83333333333333
9	1.55555555555556
20	2.45
6	1.33333333333333
12	2.08333333333333
16	2.375
3	1
19	2.73684210526316
26	2.57692307692308
26	3.34615384615385
23	3.52173913043478
24	3.625
22	3.45454545454545
21	2.80952380952381
10	2.4
18	2.55555555555556
14	2.42857142857143
13	1.69230769230769
17	2.29411764705882
48	3.91666666666667
18	3.11111111111111
9	2
12	3.08333333333333
12	2.16666666666667
11	2.18181818181818
8	2
15	2.26666666666667
22	4.31818181818182
6	1.83333333333333
27	3.03703703703704
11	2.36363636363636
9	2.11111111111111
10	1.8
4	1
3	0.666666666666667
5	1.2
6	1.16666666666667
9	1.88888888888889
7	3
18	3.83333333333333
10	1.6
9	1.55555555555556
5	2
4	1
8	2.125
7	1.57142857142857
5	1
19	2.31578947368421
4	1.25
3	1
3	1
7	1.57142857142857
10	2.6
7	2.14285714285714
18	3.27777777777778
3	0.666666666666667
8	1.25
5	1.6
9	1.44444444444444
5	1.8
3	0.666666666666667
5	1.6
4	1.5
30	2.73333333333333
8	2
15	2.66666666666667
27	3.96296296296296
8	1.5
3	0.666666666666667
8	1.5
12	1.91666666666667
15	2.2
9	3.33333333333333
3	1
3	1
6	1.33333333333333
5	1.4
13	3.15384615384615
26	2.19230769230769
5	1.2
9	1.66666666666667
5	1.2
10	1.6
7	1.28571428571429
8	2
17	2.23529411764706
27	2.37037037037037
8	2.25
9	2
7	1.71428571428571
9	1.77777777777778
6	1.33333333333333
14	2.07142857142857
5	1.2
7	1.57142857142857
8	1.5
11	2
8	1.125
26	3.92307692307692
4	1
15	2.4
4	1.25
16	2.3125
16	7.5
15	2.93333333333333
10	1.5
7	1.71428571428571
12	2.16666666666667
21	2.52380952380952
25	2.76
11	2.09090909090909
11	2.45454545454545
4	1
7	1.28571428571429
35	3.45714285714286
29	3.17241379310345
6	2.16666666666667
25	3.76
6	1.16666666666667
11	1.72727272727273
6	1.33333333333333
9	1.88888888888889
18	3.11111111111111
10	1.5
27	2.88888888888889
13	2.23076923076923
17	1.94117647058824
15	2.06666666666667
6	1.16666666666667
21	2.19047619047619
15	1.86666666666667
6	1.5
16	2.6875
6	1.33333333333333
17	2.70588235294118
17	2.64705882352941
17	2.35294117647059
7	1.71428571428571
25	2.56
11	1.81818181818182
14	2.14285714285714
24	2.125
24	2.66666666666667
22	2.95454545454545
19	2.68421052631579
13	1.61538461538462
7	2
24	3.25
12	1.41666666666667
21	4.71428571428571
7	1.14285714285714
19	4.47368421052632
5	1.2
10	1.7
15	4.8
10	2.1
10	1.5
8	1.375
22	2.63636363636364
13	3.15384615384615
7	1.42857142857143
5	1.2
8	2.125
10	1.8
15	2.8
19	2.52631578947368
11	3.18181818181818
5	1.6
21	2.57142857142857
26	2.57692307692308
13	2.38461538461538
13	2.07692307692308
11	2.18181818181818
21	2.42857142857143
12	2.25
20	2.9
6	1.16666666666667
17	2.88235294117647
8	2
19	3.36842105263158
20	2.8
12	1.83333333333333
28	4.35714285714286
21	3
8	2.125
20	3.05
14	2.07142857142857
29	3.82758620689655
12	1.83333333333333
29	3.27586206896552
16	2.5625
10	2.1
10	1.6
17	2.47058823529412
18	2.44444444444444
11	2.09090909090909
19	2
19	2.68421052631579
10	2.4
22	2.31818181818182
9	1.33333333333333
17	2.05882352941176
4	1
28	3.64285714285714
10	1.7
8	1.875
7	2.14285714285714
13	2.23076923076923
29	3.27586206896552
9	2.22222222222222
21	2.28571428571429
19	2.05263157894737
25	3.64
19	2.31578947368421
12	2.33333333333333
20	2.25
5	1.2
6	1.16666666666667
20	3.55
21	2.47619047619048
5	1.4
25	2
5	2
11	1.45454545454545
6	1.5
7	1.71428571428571
20	3.05
7	1.85714285714286
14	2.35714285714286
3	1
12	1.91666666666667
6	1.83333333333333
10	1.7
18	2.22222222222222
15	3
18	2.77777777777778
14	2.28571428571429
4	1
7	1.85714285714286
6	1.83333333333333
5	1
3	0.666666666666667
8	1.375
4	1.5
9	3.55555555555556
12	2.58333333333333
12	3.33333333333333
13	2
5	1
14	2.07142857142857
7	1.28571428571429
7	1.28571428571429
5	1.6
18	2.77777777777778
7	1.57142857142857
16	2.875
7	1.57142857142857
21	3.14285714285714
9	2.22222222222222
12	2.83333333333333
7	1.28571428571429
12	1.83333333333333
19	3.05263157894737
20	2.7
23	2.56521739130435
19	2.31578947368421
8	1.75
11	2.81818181818182
8	2.375
3	1
3	1
12	3.5
8	2.625
5	2
7	1.57142857142857
16	1.875
10	2
13	2.30769230769231
8	1.25
8	2
25	2.84
12	2.25
9	1.66666666666667
35	3.31428571428571
26	2.5
8	1.5
4	1
