"node"	"mean_edge_length"
3	0.666666666666667
3	0.666666666666667
3	1
22	3.04545454545455
3	1
11	2
7	1.28571428571429
12	2
3	1
14	2.85714285714286
10	1.7
3	1
5	1.2
13	1.76923076923077
3	1
19	3.89473684210526
30	2.86666666666667
18	3.16666666666667
24	4.54166666666667
11	2.09090909090909
11	2.45454545454545
9	2.22222222222222
7	1.14285714285714
3	1
5	1.2
8	1.75
13	2.46153846153846
16	3.25
5	1.2
3	1
11	2
11	2
11	2.36363636363636
9	1.33333333333333
3	1
4	1
32	2.40625
3	1
16	2.1875
13	2.38461538461538
8	2
3	1
18	2.16666666666667
5	1.2
3	1
4	1.5
15	2
14	2.28571428571429
3	1
5	1
4	1
3	1
32	3.9375
3	0.666666666666667
3	0.666666666666667
15	2.66666666666667
3	1
6	1.16666666666667
6	2.16666666666667
6	1.33333333333333
10	1.3
14	1.78571428571429
21	1.95238095238095
4	1
6	1
12	1.83333333333333
5	1.2
5	1.4
20	2.7
7	1.57142857142857
12	2.16666666666667
5	0.8
3	1
7	2.14285714285714
6	2
13	3.15384615384615
7	2.28571428571429
4	1.5
5	1
3	1
8	1.5
3	1
3	1
5	1.2
32	3.375
8	2
16	2.25
3	1
7	1.85714285714286
7	1.57142857142857
57	3.85964912280702
3	1
4	1.5
13	2
8	1.5
3	1
6	1.33333333333333
3	1
3	0.666666666666667
3	0.666666666666667
14	2.57142857142857
3	0.666666666666667
7	1.14285714285714
7	1.42857142857143
12	1.83333333333333
11	1.72727272727273
26	2.61538461538462
9	1.44444444444444
14	2.28571428571429
11	1.63636363636364
13	3.07692307692308
9	1.66666666666667
7	1.14285714285714
25	1.96
3	1
3	1
4	1
19	1.84210526315789
9	1.55555555555556
10	1.3
3	1
7	1.28571428571429
13	2
9	1.44444444444444
8	1.5
11	1.36363636363636
11	1.81818181818182
12	2
4	1
6	1.16666666666667
10	2.1
7	1.28571428571429
5	1.2
9	2.22222222222222
5	1.2
3	1
7	1.71428571428571
3	1
3	0.666666666666667
3	0.666666666666667
3	1
8	1.25
4	1.25
9	1.66666666666667
3	1
3	1
3	1
6	1
13	2.15384615384615
15	1.93333333333333
3	1
4	1
9	1.22222222222222
3	1
11	2.81818181818182
9	1.33333333333333
12	2.08333333333333
3	1
11	2
15	1.53333333333333
10	1.3
3	1
14	2
3	1
3	1
4	1.25
12	2.91666666666667
4	1
3	1
3	1
8	1.5
3	1
4	1.5
4	1
3	0.666666666666667
3	0.666666666666667
7	1.42857142857143
6	1
3	1
10	1.7
11	1.63636363636364
8	2
3	1
9	1.88888888888889
3	1
21	2.42857142857143
8	2
5	1.6
7	1.42857142857143
5	1.6
15	2.4
8	2
10	1.9
3	1
9	2
3	1
9	1.88888888888889
9	2.33333333333333
5	1.2
9	3.11111111111111
11	3
8	1.75
32	2.59375
7	1.14285714285714
12	2.66666666666667
3	1
8	2
3	1
8	1.25
5	1.2
18	2.38888888888889
3	1
14	2.35714285714286
9	2.55555555555556
3	1
3	1
3	0.666666666666667
3	0.666666666666667
6	1.5
3	1
11	1.63636363636364
13	1.69230769230769
3	0.666666666666667
5	1.2
10	1.5
3	1
11	2.18181818181818
11	2
4	1.25
3	1
6	1.16666666666667
5	1.2
10	1.8
5	1.6
7	1.71428571428571
3	1
12	2.58333333333333
3	1
6	1.66666666666667
13	3.38461538461538
6	1.16666666666667
9	2
3	1
3	1
5	1.6
3	1
4	1.5
8	1.75
3	1
12	1.33333333333333
4	1
3	1
10	2.5
7	1.42857142857143
7	1
7	1.71428571428571
3	1
3	0.666666666666667
9	2.22222222222222
4	1.5
4	0.75
3	1
16	2.25
5	0.8
3	1
6	1.66666666666667
3	1
4	1
3	1
3	0.666666666666667
3	0.666666666666667
5	1
14	1.42857142857143
3	1
4	1.5
18	2.5
3	1
10	2.2
9	1.55555555555556
7	2
3	1
3	1
3	1
8	1.125
9	2
15	1.66666666666667
3	1
3	1
3	1
4	1.5
3	1
