"node"	"mean_edge_length"
8	2.875
20	3.5
19	2.84210526315789
19	2.26315789473684
28	4.32142857142857
4	1.25
6	1.66666666666667
6	1.16666666666667
11	2.09090909090909
9	2.22222222222222
14	2.57142857142857
28	3.96428571428571
6	2
19	2.68421052631579
16	3.9375
11	2.72727272727273
9	1.55555555555556
3	1
10	2
13	2.38461538461538
12	2.25
23	3.21739130434783
8	2.25
22	4.45454545454545
12	2.66666666666667
7	2.71428571428571
7	2.42857142857143
5	2
13	2
9	2.22222222222222
5	1.2
11	2.45454545454545
13	2.61538461538462
8	1.875
16	2.6875
5	1.2
8	2.25
5	1.2
5	1.6
21	2.23809523809524
13	2.46153846153846
12	2.58333333333333
17	3.11764705882353
7	1.57142857142857
7	1.71428571428571
13	2.30769230769231
3	1
7	2
6	1.33333333333333
4	0.75
10	2.9
13	2.30769230769231
28	3.03571428571429
19	2.63157894736842
7	2.42857142857143
15	2.4
21	3.38095238095238
5	1.4
14	2.28571428571429
15	3.4
9	2
7	1.71428571428571
8	1.25
9	2.55555555555556
6	2
12	2.16666666666667
13	2.84615384615385
15	2.33333333333333
3	1
13	3.46153846153846
3	1
3	1
10	2.3
12	2.58333333333333
5	1.8
8	1.625
21	4.80952380952381
7	2.28571428571429
3	0.666666666666667
4	1.5
28	3.75
14	4.35714285714286
14	3.35714285714286
21	3.42857142857143
23	5.30434782608696
14	3.28571428571429
11	2.54545454545455
4	1
9	1.55555555555556
22	3.72727272727273
13	3.07692307692308
27	3.7037037037037
15	2.86666666666667
41	5.39024390243902
26	3.46153846153846
34	3.94117647058824
3	1
16	3.125
32	3.5625
3	1
10	3.4
5	2
12	3.5
6	2
3	0.666666666666667
18	3.05555555555556
12	1.91666666666667
14	2.71428571428571
3	1
10	2.2
3	0.666666666666667
12	2.16666666666667
24	2.29166666666667
42	3.69047619047619
6	2
16	3.6875
27	4.88888888888889
13	3.30769230769231
21	2.47619047619048
11	2.18181818181818
5	1.8
11	1.81818181818182
5	1.6
4	1.5
14	3.14285714285714
13	4.07692307692308
29	3.48275862068966
16	2.5
9	1.66666666666667
8	1.625
19	2.73684210526316
14	2.14285714285714
39	3.07692307692308
42	4.47619047619048
13	2.61538461538462
15	2.2
16	2.0625
24	3.20833333333333
17	2.94117647058824
5	1.8
27	5.55555555555556
16	2.3125
13	2.84615384615385
13	2
19	3.94736842105263
26	3.34615384615385
14	3.14285714285714
13	2.84615384615385
19	3.89473684210526
5	1.2
8	1.25
9	1.55555555555556
14	2.42857142857143
18	2.05555555555556
6	1.83333333333333
23	4.30434782608696
14	2.14285714285714
25	3.44
5	2
11	2.63636363636364
6	2
15	3.13333333333333
36	3.94444444444444
9	3.77777777777778
13	2.46153846153846
13	2.84615384615385
4	1
12	2.91666666666667
4	1
3	0.666666666666667
15	4.06666666666667
5	1.4
14	2.78571428571429
5	1.8
6	1.33333333333333
3	0.666666666666667
4	0.75
14	3.28571428571429
8	2.375
14	3.42857142857143
10	2.7
5	1
15	3.66666666666667
14	2.42857142857143
15	2.26666666666667
21	4.47619047619048
18	2.61111111111111
16	3.75
10	2.4
20	2.95
20	2.85
6	1.33333333333333
7	1.42857142857143
22	4.22727272727273
5	1.4
25	3.28
4	1.5
14	4.07142857142857
10	3.3
14	1.92857142857143
27	3.11111111111111
12	1.75
8	1.875
29	4.06896551724138
9	2
14	2.21428571428571
38	3.76315789473684
17	3.35294117647059
8	1.5
5	1.4
7	1.71428571428571
36	4.86111111111111
29	3.06896551724138
3	0.666666666666667
22	3.09090909090909
26	4.30769230769231
14	2.14285714285714
24	2.91666666666667
10	1.8
4	1.5
21	3.19047619047619
4	1.25
8	1.75
8	1.75
4	1.5
15	3.06666666666667
12	1.66666666666667
6	1.5
6	1.66666666666667
3	1
12	1.91666666666667
20	3.8
28	3.96428571428571
10	2
12	2.58333333333333
8	1.75
14	2.85714285714286
5	1.8
13	3.61538461538462
13	3.69230769230769
10	4.1
7	1.85714285714286
19	3.31578947368421
16	3.6875
10	2.3
22	3.27272727272727
13	2.23076923076923
12	2.41666666666667
24	3.375
14	3.5
11	2
11	1.72727272727273
15	3.66666666666667
30	3.1
17	3.47058823529412
16	3
12	2.66666666666667
14	2.92857142857143
3	1
17	2.35294117647059
7	2.14285714285714
19	2.78947368421053
3	1
31	2.67741935483871
24	3.95833333333333
14	2.07142857142857
13	2.84615384615385
12	3.08333333333333
11	1.63636363636364
11	2.18181818181818
21	4.04761904761905
16	3.0625
13	3.61538461538462
28	5.21428571428571
5	2
36	3.22222222222222
17	2.70588235294118
6	1.5
6	1.66666666666667
13	2
24	4.5
9	1.33333333333333
19	3
23	4.47826086956522
9	2
27	3.07407407407407
13	2.69230769230769
12	2.83333333333333
11	2.45454545454545
16	3.75
21	3.42857142857143
47	3.93617021276596
15	2.6
9	2.88888888888889
7	1.42857142857143
9	1.33333333333333
27	5.51851851851852
40	3
36	4.52777777777778
9	2.44444444444444
25	2.84
10	3
24	2.83333333333333
11	1.90909090909091
9	2.11111111111111
13	2.15384615384615
69	3.92753623188406
51	4.62745098039216
20	3
9	2
25	2.68
16	2.3125
7	1.85714285714286
41	3.92682926829268
33	3.57575757575758
5	1.2
16	2.6875
12	2.25
23	4.82608695652174
19	3.15789473684211
31	3.38709677419355
13	3.38461538461538
9	2.33333333333333
6	1.5
15	3.4
7	2.28571428571429
14	2.78571428571429
16	3.125
42	3.33333333333333
29	3.55172413793103
15	2.53333333333333
8	2.5
4	1
10	2.2
6	1.66666666666667
20	3.7
6	1.16666666666667
14	2.14285714285714
12	2.5
21	2.80952380952381
27	2.7037037037037
10	2.7
20	3.05
9	2.11111111111111
12	2.75
26	3.03846153846154
8	2
9	2
6	1.33333333333333
6	1.33333333333333
13	2.92307692307692
11	3.18181818181818
6	1.33333333333333
14	2.28571428571429
13	2.61538461538462
44	5.22727272727273
42	3.61904761904762
27	3.48148148148148
16	4.125
19	3.63157894736842
59	6.01694915254237
49	4.93877551020408
10	2.2
19	3.73684210526316
12	2.25
39	3.97435897435897
7	1.28571428571429
8	2.5
7	1.57142857142857
15	2.4
17	3.17647058823529
4	1
5	1.2
3	1
19	2.52631578947368
15	2.73333333333333
22	2.63636363636364
17	4.11764705882353
11	3
17	2.88235294117647
20	4.3
19	2.26315789473684
6	2.33333333333333
28	5.85714285714286
14	2.85714285714286
3	1
19	2.63157894736842
13	2.30769230769231
19	4.05263157894737
11	2.36363636363636
24	3
10	1.7
23	4.1304347826087
17	2.88235294117647
21	3.33333333333333
27	2.77777777777778
16	4
22	4.13636363636364
28	2.92857142857143
14	3.57142857142857
31	4.29032258064516
10	1.7
12	2
21	2.28571428571429
31	3.87096774193548
32	4
22	3.22727272727273
18	2.61111111111111
32	2.71875
6	1.5
14	1.64285714285714
14	2.57142857142857
8	2.5
3	1
3	1
11	2
3	0.666666666666667
3	1
4	1
4	1
32	3.9375
19	2.84210526315789
43	4.67441860465116
25	3.2
9	2.88888888888889
34	3.85294117647059
8	1.5
4	1.25
9	2.44444444444444
9	2.66666666666667
11	2.09090909090909
6	2.5
6	1.5
30	4.3
11	2.90909090909091
16	2.6875
25	3.08
19	2.57894736842105
22	3.68181818181818
30	3.63333333333333
12	2
19	2.63157894736842
3	0.666666666666667
11	2.63636363636364
6	2
5	1.6
7	1.71428571428571
12	3
17	2.76470588235294
9	2.22222222222222
8	1.375
16	3
17	3.70588235294118
17	3.82352941176471
21	3.0952380952381
11	2.18181818181818
30	4.5
55	3.92727272727273
19	4.42105263157895
11	2.81818181818182
16	2.1875
20	3.1
7	3
20	2.65
5	1.6
13	3.84615384615385
16	2.3125
34	5.11764705882353
18	3.22222222222222
5	2
22	3.90909090909091
25	3.32
21	3.57142857142857
23	3.60869565217391
14	2.71428571428571
10	2
13	2.84615384615385
14	2.71428571428571
15	3.4
10	3
29	5.17241379310345
9	1.77777777777778
16	2.375
13	3
5	1.2
17	2.17647058823529
30	2.8
29	4.68965517241379
18	3.22222222222222
29	3.27586206896552
4	1.5
18	3.38888888888889
18	2.66666666666667
15	2.8
6	2.5
8	1.5
29	5.17241379310345
55	3.92727272727273
27	4.37037037037037
3	1
7	2.57142857142857
28	5.85714285714286
16	2.4375
18	4.33333333333333
22	2.95454545454545
18	3.55555555555556
43	4.44186046511628
52	4.86538461538461
23	3.04347826086957
14	4.35714285714286
12	2.58333333333333
10	1.9
12	2.91666666666667
17	3.23529411764706
26	3.03846153846154
33	2.51515151515152
19	2.21052631578947
31	3.67741935483871
4	1
43	5.65116279069767
14	2.85714285714286
4	1.5
12	3.58333333333333
13	3.61538461538462
4	1.5
36	4.91666666666667
18	4.44444444444444
16	3.5625
16	3.8125
20	4.5
40	4.475
19	3.36842105263158
19	2.78947368421053
12	2.16666666666667
19	3.73684210526316
26	3.38461538461538
16	2.25
33	3.45454545454545
29	4.72413793103448
33	2.90909090909091
39	4.33333333333333
21	2.9047619047619
20	2.9
12	2.16666666666667
35	4.82857142857143
30	5.03333333333333
63	5.23809523809524
33	5
4	1.5
13	3.61538461538462
11	3.36363636363636
24	4.16666666666667
9	1.88888888888889
9	3.11111111111111
16	2.625
35	4.77142857142857
27	3.48148148148148
12	1.83333333333333
40	4.475
26	4.07692307692308
29	3.68965517241379
24	4.58333333333333
39	4.53846153846154
25	3.12
7	2.71428571428571
23	2.95652173913043
10	1.7
49	5.87755102040816
15	3.73333333333333
26	3.88461538461538
17	2.17647058823529
16	2.25
22	3.72727272727273
