"node"	"mean_edge_length"
17	3.23529411764706
18	3.72222222222222
4	1
12	2.16666666666667
9	1.77777777777778
15	2.8
28	3.46428571428571
25	3
19	2.89473684210526
13	2
8	2.125
10	2.5
22	2.68181818181818
12	2.25
10	2.9
24	4.54166666666667
17	2.82352941176471
23	3.60869565217391
11	2.54545454545455
20	2.55
10	1.9
20	3.4
25	4.72
7	1.85714285714286
16	2.0625
23	3.30434782608696
14	2.07142857142857
20	3.5
12	2.83333333333333
4	1
7	1.57142857142857
6	1.83333333333333
6	1.33333333333333
9	2.55555555555556
10	1.8
15	2.66666666666667
18	2.77777777777778
11	2
12	2.5
42	4.64285714285714
26	3.07692307692308
11	1.54545454545455
7	1.28571428571429
10	2.2
25	2.92
6	1.5
8	1.625
22	2.36363636363636
12	2.33333333333333
9	1.88888888888889
12	2.33333333333333
9	1.66666666666667
12	2.5
7	2
9	2.33333333333333
12	2.58333333333333
15	1.66666666666667
14	2
18	2.11111111111111
5	1
25	2.56
17	2.47058823529412
11	1.54545454545455
14	2
15	2.8
10	2.3
7	1.71428571428571
12	3.5
10	2.8
21	3.42857142857143
16	2.25
16	2.625
14	2
7	1.85714285714286
13	1.84615384615385
18	2.33333333333333
19	2
14	2
17	2.35294117647059
12	1.66666666666667
9	2.11111111111111
28	2.39285714285714
10	1.9
14	2.85714285714286
7	1.57142857142857
5	1.2
20	3.95
24	3.375
16	2.125
25	2.76
27	3.40740740740741
5	1.4
19	1.78947368421053
11	1.81818181818182
6	1.83333333333333
36	4.19444444444444
18	3.05555555555556
34	3.82352941176471
12	1.75
6	1.5
17	2.88235294117647
11	2
10	2.7
8	2.25
17	3.29411764705882
22	3.18181818181818
6	1.5
14	2
5	1.4
18	2.44444444444444
19	2.57894736842105
18	2.38888888888889
7	1.71428571428571
19	3.10526315789474
5	1.4
26	2.15384615384615
30	2.3
15	2.8
17	2.47058823529412
21	2.14285714285714
15	1.93333333333333
21	3.9047619047619
5	1.4
17	2.23529411764706
17	2.05882352941176
15	2.86666666666667
10	1.7
9	1.77777777777778
24	4.04166666666667
13	2.15384615384615
16	2.5
15	3.13333333333333
17	2.47058823529412
52	4.13461538461539
26	2
7	1.28571428571429
27	3.62962962962963
11	2.36363636363636
33	3.60606060606061
17	2.11764705882353
28	3.53571428571429
31	2.7741935483871
27	4.37037037037037
15	3.06666666666667
18	3
27	3.14814814814815
19	3
23	3.43478260869565
13	2.46153846153846
17	4.17647058823529
26	3.76923076923077
24	2.70833333333333
15	3.06666666666667
20	2.6
9	2.22222222222222
28	2.92857142857143
10	1.9
50	3.5
22	2.81818181818182
7	2.14285714285714
21	2.57142857142857
27	2.25925925925926
26	2.61538461538462
11	2.09090909090909
10	2.2
26	2.76923076923077
5	1.4
28	3
10	2.2
7	1.28571428571429
11	1.90909090909091
20	2.5
25	2.76
13	2.53846153846154
16	2.6875
18	2.16666666666667
47	3.57446808510638
46	4.91304347826087
36	3.91666666666667
4	0.75
17	2.05882352941176
14	3.28571428571429
29	4.27586206896552
24	2.91666666666667
55	2.98181818181818
77	6.31168831168831
45	3.08888888888889
29	2.93103448275862
28	3.64285714285714
9	1.22222222222222
9	1.88888888888889
35	4.68571428571429
17	2.58823529411765
11	2.18181818181818
16	1.75
29	5.24137931034483
6	1.5
16	2.4375
22	2.63636363636364
41	3.82926829268293
28	2.5
24	3.75
5	1.2
15	2.4
16	1.6875
17	2.76470588235294
41	3.02439024390244
28	3.17857142857143
47	2.48936170212766
4	1
9	2.22222222222222
10	1.9
9	2.11111111111111
16	2.625
33	2.96969696969697
11	2.63636363636364
25	2.48
18	2.61111111111111
19	2.73684210526316
8	1.75
9	1.66666666666667
13	2.69230769230769
26	2.69230769230769
37	3.43243243243243
10	1.9
11	2.45454545454545
39	4.20512820512821
17	2.58823529411765
27	3.22222222222222
29	3.37931034482759
13	3
25	2.88
39	3.28205128205128
31	3.32258064516129
7	1.71428571428571
19	2.21052631578947
13	2
36	3.05555555555556
21	3.42857142857143
24	3.29166666666667
18	2.72222222222222
14	2.5
18	3.44444444444444
20	2.4
23	2.73913043478261
4	0.75
5	1.2
5	1.2
15	2.6
31	4.25806451612903
31	3.87096774193548
24	4.08333333333333
24	4.08333333333333
15	2.6
36	4.13888888888889
38	4.47368421052632
35	5.11428571428571
13	2.07692307692308
27	3.2962962962963
29	3.13793103448276
27	3.07407407407407
19	2.57894736842105
14	2.35714285714286
16	2.5625
10	2.5
8	1.625
6	1.33333333333333
16	2.0625
15	2.6
9	1.88888888888889
6	1.16666666666667
31	2.58064516129032
23	2.73913043478261
28	3.21428571428571
13	3.23076923076923
29	3.24137931034483
33	3.42424242424242
10	1.8
17	2.05882352941176
26	2.34615384615385
19	2.42105263157895
53	3.16981132075472
15	2.06666666666667
52	4.55769230769231
25	3.64
20	2.8
16	2.75
13	2.76923076923077
14	3
18	2.66666666666667
28	2.82142857142857
25	2.28
7	1.71428571428571
24	3
38	2.57894736842105
22	3
6	1.33333333333333
57	3.96491228070175
32	2.53125
26	3
11	2.18181818181818
21	2.71428571428571
31	3.12903225806452
13	3.07692307692308
8	1.875
37	3.62162162162162
24	3.41666666666667
7	1.85714285714286
15	2.53333333333333
34	4.32352941176471
26	3.53846153846154
8	2.125
19	3.31578947368421
59	3.72881355932203
21	2.57142857142857
59	4.47457627118644
24	3.41666666666667
8	1.75
5	1.4
5	1.6
5	1.4
7	1.28571428571429
23	3.73913043478261
17	2.29411764705882
8	2.125
10	1.7
7	1.57142857142857
36	3.36111111111111
29	2.41379310344828
18	2.88888888888889
44	3.54545454545455
12	2.75
34	6.55882352941176
11	2.27272727272727
17	3.11764705882353
32	3.78125
25	3.24
12	2.33333333333333
54	3.77777777777778
31	4.48387096774194
8	1.75
20	3.35
19	2.47368421052632
44	3.70454545454545
21	3.80952380952381
27	3.2962962962963
24	3.125
20	2.4
30	3.33333333333333
34	4.70588235294118
56	3.05357142857143
23	3.47826086956522
25	3.56
17	2.64705882352941
11	2.54545454545455
29	2.6551724137931
41	4.29268292682927
23	3.65217391304348
10	3
13	2.76923076923077
24	3.125
14	2.28571428571429
25	2.68
26	2.65384615384615
20	4
47	5.91489361702128
25	3.36
14	3.57142857142857
32	3.75
79	5.18987341772152
28	3.60714285714286
22	3.22727272727273
19	2.78947368421053
26	2.84615384615385
39	3.07692307692308
31	2.96774193548387
13	2.84615384615385
30	3.46666666666667
25	2.84
15	1.8
10	2
23	4.43478260869565
15	2.66666666666667
17	3.05882352941176
65	6.2
39	3.58974358974359
16	2.8125
47	3.38297872340426
43	4.30232558139535
36	3.94444444444444
39	3.1025641025641
37	3.94594594594595
34	4.64705882352941
26	3.73076923076923
54	4
28	4.32142857142857
35	4.31428571428571
21	4.52380952380952
13	2.46153846153846
14	2.35714285714286
6	1.66666666666667
10	2.1
34	5.76470588235294
27	3.07407407407407
37	3.43243243243243
12	3
8	1.375
32	4.0625
6	1.5
31	4.41935483870968
38	3.21052631578947
44	3.65909090909091
36	3.91666666666667
28	3.35714285714286
19	3.63157894736842
27	3.88888888888889
42	4.07142857142857
26	2.80769230769231
20	3.9
53	4.50943396226415
41	2.95121951219512
20	2.35
12	2.58333333333333
8	1.625
22	3.13636363636364
12	2.25
65	5.56923076923077
36	3.11111111111111
55	4.58181818181818
42	3.42857142857143
31	3.32258064516129
19	3.21052631578947
34	3.47058823529412
48	4.0625
38	4.68421052631579
10	2
19	3.42105263157895
26	3.57692307692308
30	5.4
33	3.36363636363636
37	3.21621621621622
27	2.92592592592593
26	4.46153846153846
21	3.28571428571429
8	1.125
19	3.47368421052632
37	4
56	4.08928571428571
39	3.79487179487179
16	3.3125
21	4.71428571428571
30	5.06666666666667
48	4.33333333333333
26	2.96153846153846
24	4.20833333333333
11	1.90909090909091
19	2.36842105263158
22	3.18181818181818
22	2.77272727272727
53	5.0188679245283
16	2.1875
24	2.75
29	2.79310344827586
43	4.90697674418605
35	4.25714285714286
46	2.67391304347826
19	2.73684210526316
17	3.05882352941176
7	1.85714285714286
59	3.77966101694915
43	2.97674418604651
64	5.375
79	4.21518987341772
35	3.51428571428571
35	3.8
46	4.80434782608696
48	4.14583333333333
35	3.54285714285714
43	4.11627906976744
18	3.27777777777778
10	3.2
16	2.4375
32	4.15625
23	2.95652173913043
7	1.85714285714286
16	4.3125
7	1.85714285714286
23	3.60869565217391
44	3.90909090909091
24	4.54166666666667
20	3.3
