"node"	"mean_edge_length"
10	2.1
21	2.28571428571429
16	2.1875
46	4.69565217391304
6	1.5
18	2.11111111111111
26	2.11538461538462
48	2.22916666666667
48	3.6875
33	2.63636363636364
47	2.78723404255319
23	2.52173913043478
19	1.78947368421053
10	1.5
44	2.65909090909091
30	2.43333333333333
8	1.375
20	2.35
26	2.73076923076923
10	1.6
6	1.5
3	0.666666666666667
27	2.2962962962963
15	2.6
15	1.73333333333333
67	2.52238805970149
38	2.81578947368421
30	2.3
12	1.83333333333333
16	1.75
6	1.5
18	2.16666666666667
28	2.53571428571429
26	2.19230769230769
5	1
9	1.44444444444444
8	1.5
37	3.16216216216216
30	2.16666666666667
46	2.5
4	1
14	2.07142857142857
21	2.52380952380952
18	2.16666666666667
13	2.30769230769231
64	2.53125
44	3.15909090909091
17	1.94117647058824
33	2.6969696969697
25	2.16
37	2.67567567567568
19	2.15789473684211
21	2.19047619047619
71	3.43661971830986
35	2.68571428571429
21	2.33333333333333
34	2.44117647058824
6	1.5
39	2.71794871794872
17	2.11764705882353
24	2.16666666666667
4	1.5
63	3.6031746031746
16	2
27	2
28	2.32142857142857
14	2.14285714285714
18	1.83333333333333
13	1.92307692307692
4	1
46	2.28260869565217
17	1.82352941176471
13	1.92307692307692
16	3.375
19	2.36842105263158
19	1.84210526315789
43	2.88372093023256
21	1.76190476190476
21	3.23809523809524
8	1.625
17	1.88235294117647
47	3.61702127659574
26	2.96153846153846
14	2.28571428571429
15	1.66666666666667
15	2
7	1.42857142857143
16	2.5625
17	2.82352941176471
14	2.35714285714286
37	2.45945945945946
13	1.84615384615385
34	4.05882352941176
32	3.0625
28	2.42857142857143
36	2.47222222222222
17	2
25	1.88
36	3.16666666666667
15	1.8
8	1.375
19	2.36842105263158
10	1.9
28	2.10714285714286
20	2.7
13	3
10	1.5
16	1.9375
10	2
30	2.86666666666667
3	0.666666666666667
17	1.76470588235294
8	1.625
8	1.25
7	1.71428571428571
13	1.92307692307692
22	2
34	2.79411764705882
23	1.78260869565217
17	2.11764705882353
9	1.66666666666667
10	1.8
14	2
21	3.33333333333333
6	1.5
13	1.76923076923077
27	1.81481481481481
10	1.6
13	1.69230769230769
13	1.53846153846154
4	1
8	2
15	1.86666666666667
9	2.22222222222222
12	1.75
21	2.61904761904762
6	1.83333333333333
12	1.83333333333333
8	1.5
16	2.4375
6	1.16666666666667
9	2.11111111111111
21	1.80952380952381
29	1.89655172413793
18	2.05555555555556
15	2.13333333333333
19	2.36842105263158
5	0.8
10	1.9
6	1.83333333333333
4	1
4	1
7	1.42857142857143
16	1.625
17	2.17647058823529
14	2.35714285714286
13	2
7	1.28571428571429
26	2.80769230769231
36	2.27777777777778
14	3.07142857142857
24	1.91666666666667
14	1.92857142857143
16	2.9375
14	1.57142857142857
21	1.85714285714286
24	2.58333333333333
33	3.63636363636364
28	2.17857142857143
23	1.73913043478261
12	2
11	2
24	2.375
6	2
5	1.4
8	1.5
10	1.9
3	1
8	1.875
4	1
31	2.45161290322581
19	2.26315789473684
13	1.84615384615385
11	1.36363636363636
17	2.35294117647059
6	1.16666666666667
25	3.04
17	2.94117647058824
18	2.16666666666667
18	2.05555555555556
8	1.375
9	1.77777777777778
14	2.21428571428571
6	1.5
7	1.42857142857143
6	1.33333333333333
7	1.28571428571429
23	2.60869565217391
22	2.22727272727273
21	2.0952380952381
29	2.68965517241379
6	1.5
26	2.30769230769231
7	1.42857142857143
11	2
5	1.4
11	1.90909090909091
10	1.4
9	2.22222222222222
13	2.23076923076923
18	2.11111111111111
22	2.95454545454545
6	1
10	1.2
17	2.35294117647059
23	2.26086956521739
24	2.375
17	1.82352941176471
21	2.19047619047619
9	1.88888888888889
5	1.6
9	2.11111111111111
6	1.83333333333333
4	1
27	3.11111111111111
25	2.24
13	2.15384615384615
16	2.125
27	3.03703703703704
8	1.875
12	2
13	2
20	3.45
16	2.5
5	1
19	2.36842105263158
10	1.4
3	1
32	2.25
7	1.57142857142857
3	1
12	3.58333333333333
18	2.11111111111111
6	1.33333333333333
5	1
10	1.7
15	1.8
9	2.44444444444444
16	1.75
18	2.16666666666667
9	2
21	2.47619047619048
20	2.1
9	1.66666666666667
14	2
9	1.44444444444444
17	2.05882352941176
19	1.89473684210526
17	1.64705882352941
23	2.34782608695652
32	2.59375
7	1.85714285714286
11	1.72727272727273
17	1.88235294117647
31	2.70967741935484
15	1.8
18	1.94444444444444
11	1.81818181818182
12	1.75
23	2.73913043478261
5	1.2
8	1.25
10	1.7
20	1.55
24	2.70833333333333
13	2.07692307692308
10	1.7
18	2.83333333333333
27	1.88888888888889
3	0.666666666666667
9	1.55555555555556
25	2.56
56	2.94642857142857
47	2.61702127659574
53	3.71698113207547
26	2.26923076923077
14	2.35714285714286
44	2.86363636363636
20	3.65
15	2.13333333333333
5	1.4
4	1.5
37	2.37837837837838
15	1.73333333333333
20	2.45
41	2.85365853658537
20	1.85
26	2.88461538461538
17	3.11764705882353
8	1.5
20	2.45
13	1.92307692307692
31	2.45161290322581
38	2.73684210526316
20	2.15
5	2
5	1.4
27	2.25925925925926
10	1.9
46	3.02173913043478
36	3.02777777777778
10	1.8
26	1.65384615384615
33	2.87878787878788
34	2.61764705882353
21	2.95238095238095
26	2.73076923076923
22	2.40909090909091
13	1.69230769230769
23	2.60869565217391
29	3.68965517241379
42	3.47619047619048
36	2.41666666666667
23	2.04347826086957
18	1.66666666666667
5	1.4
41	2.21951219512195
66	2.56060606060606
15	2.13333333333333
22	2.40909090909091
18	3.55555555555556
10	2.3
11	1.45454545454545
22	2.40909090909091
15	2.8
14	2.57142857142857
18	2.5
30	3.16666666666667
27	2.2962962962963
10	2.5
27	1.7037037037037
60	3.76666666666667
22	2.09090909090909
33	2.21212121212121
34	3.70588235294118
23	2.17391304347826
23	2.56521739130435
20	2
50	2.9
8	2
46	2.5
10	1.5
35	2.2
6	1.5
26	2.38461538461538
45	3.42222222222222
34	2.70588235294118
24	2.625
26	2.46153846153846
55	2.8
32	2.28125
29	2.55172413793103
8	2
4	1
10	2.8
34	3.08823529411765
35	3.08571428571429
18	1.66666666666667
33	2.96969696969697
32	2.4375
18	1.77777777777778
40	2.575
10	1.9
49	2.28571428571429
33	2.54545454545455
43	2.30232558139535
28	3.35714285714286
23	2.60869565217391
15	2.2
37	2.81081081081081
19	2.42105263157895
9	1.66666666666667
11	2.45454545454545
3	1
9	1.44444444444444
4	1
6	1.33333333333333
13	2.07692307692308
4	1
4	1.5
3	1
11	1.90909090909091
34	2.26470588235294
37	3.13513513513514
41	2.21951219512195
9	2
7	1.71428571428571
33	2.72727272727273
25	2.88
35	2.85714285714286
37	3.51351351351351
16	4.0625
12	1.83333333333333
42	2.28571428571429
47	2.14893617021277
34	3.5
31	2.83870967741935
16	2.0625
36	3
18	2.05555555555556
45	3.26666666666667
5	1.4
30	2.53333333333333
24	3.20833333333333
9	2.33333333333333
6	1.83333333333333
11	1.81818181818182
21	2.52380952380952
29	2.75862068965517
26	2.38461538461538
52	2.21153846153846
20	2.45
48	2.9375
16	2.25
15	1.66666666666667
26	1.80769230769231
43	2.09302325581395
14	1.92857142857143
3	0.666666666666667
18	2.16666666666667
23	1.91304347826087
11	2.18181818181818
41	2.63414634146341
4	1.5
40	3.575
17	1.70588235294118
20	2.55
63	3.3015873015873
33	3.06060606060606
5	1.6
3	0.666666666666667
6	1.33333333333333
13	1.84615384615385
8	1.375
15	2.26666666666667
18	2.38888888888889
18	1.77777777777778
22	2.31818181818182
10	1.9
5	1.2
17	1.94117647058824
11	2.09090909090909
11	1.45454545454545
17	2.41176470588235
11	1.81818181818182
6	1.33333333333333
38	2.57894736842105
28	1.96428571428571
23	2.34782608695652
17	2.11764705882353
11	2.18181818181818
16	2
12	1.66666666666667
12	1.83333333333333
23	2.39130434782609
8	1.375
32	3.0625
10	1.4
37	2.37837837837838
6	1.33333333333333
15	1.73333333333333
16	2.375
18	2.55555555555556
5	1.4
38	3.42105263157895
27	2.59259259259259
20	2.05
25	4.2
6	1.5
24	2.29166666666667
16	2.75
15	1.93333333333333
14	2.42857142857143
4	1.5
14	1.85714285714286
18	2.27777777777778
9	1.66666666666667
12	1.66666666666667
47	2.53191489361702
53	3.22641509433962
62	2.61290322580645
28	2.03571428571429
17	1.88235294117647
22	2.77272727272727
25	2.6
47	3.87234042553191
29	2.55172413793103
28	2.35714285714286
10	1.4
23	2.52173913043478
28	2.5
18	2.22222222222222
10	1.6
10	2.2
4	1
13	2
21	2.0952380952381
36	1.94444444444444
18	1.61111111111111
36	2
22	2
32	2.1875
31	2.32258064516129
20	2.05
28	2
33	2.3030303030303
20	2.05
14	1.64285714285714
12	1.5
24	2.29166666666667
15	2
11	1.81818181818182
10	1.7
22	1.72727272727273
36	2.41666666666667
25	2.4
22	2.27272727272727
10	2.4
26	2.84615384615385
11	1.45454545454545
3	1
13	2.30769230769231
11	2.36363636363636
18	2
26	2.30769230769231
21	2.33333333333333
87	4.26436781609195
3	1
23	1.95652173913043
37	2.43243243243243
10	1.6
12	2.08333333333333
31	2.16129032258065
15	1.6
18	2.33333333333333
16	2.375
10	1.4
24	2
13	2.30769230769231
6	1.33333333333333
12	3.5
12	1.83333333333333
21	1.66666666666667
12	1.66666666666667
19	2.05263157894737
44	2.29545454545455
11	1.45454545454545
10	1.9
15	2.2
8	1.5
18	1.66666666666667
18	1.55555555555556
39	2.71794871794872
10	2.1
9	1.77777777777778
14	1.78571428571429
37	2.97297297297297
25	2.08
12	2
7	1.85714285714286
18	2.55555555555556
21	3.38095238095238
24	2.20833333333333
18	2.22222222222222
28	1.82142857142857
20	2.85
13	1.92307692307692
60	2.45
23	2.65217391304348
14	1.71428571428571
38	2.78947368421053
38	2.39473684210526
45	3.26666666666667
45	2.46666666666667
14	2.14285714285714
9	1.44444444444444
26	2.42307692307692
55	3.05454545454545
33	2.63636363636364
31	3.06451612903226
7	1.28571428571429
53	2.94339622641509
51	3.80392156862745
57	2.78947368421053
19	2.94736842105263
27	1.85185185185185
14	1.64285714285714
25	2.36
44	2.5
26	2.73076923076923
23	2.47826086956522
28	1.75
14	1.92857142857143
29	2.79310344827586
17	1.64705882352941
12	1.66666666666667
13	1.76923076923077
32	2.84375
45	2.93333333333333
42	2.54761904761905
36	2.58333333333333
24	2.20833333333333
4	1.5
6	1.5
35	2.6
3	1
7	1.71428571428571
14	1.85714285714286
14	1.71428571428571
36	2.11111111111111
29	1.86206896551724
59	3.47457627118644
15	2.2
24	3.41666666666667
14	1.85714285714286
43	2.48837209302326
56	2.92857142857143
35	2.25714285714286
13	2.23076923076923
30	2.6
46	3.23913043478261
31	2.19354838709677
21	2.57142857142857
24	2.25
6	1.5
35	2.08571428571429
52	2.71153846153846
30	2.6
8	1.625
4	1.5
4	1.25
20	2.95
70	3.5
4	1
12	1.83333333333333
11	5
9	2
18	1.94444444444444
10	1.9
41	2.26829268292683
38	2.47368421052632
29	2.10344827586207
64	3.921875
5	1.4
15	2.53333333333333
11	1.90909090909091
16	1.75
11	1.90909090909091
9	2.22222222222222
47	3.25531914893617
18	1.88888888888889
24	1.79166666666667
21	3.23809523809524
37	2.94594594594595
74	3.93243243243243
28	3.10714285714286
24	2.75
20	1.85
18	2.22222222222222
11	2.72727272727273
35	3.14285714285714
16	2.0625
16	2.125
12	1.91666666666667
10	1.7
32	2.4375
13	1.92307692307692
20	2.75
30	2.4
19	3.10526315789474
36	2.55555555555556
21	2.0952380952381
29	3.44827586206897
5	1.4
21	2.28571428571429
23	2.43478260869565
12	1.91666666666667
8	2
19	1.63157894736842
32	2.71875
39	2.61538461538462
22	2.45454545454545
61	3.09836065573771
6	1.83333333333333
7	1.42857142857143
32	2.875
4	1.5
4	0.75
8	1.75
52	2.63461538461538
25	1.84
30	2.16666666666667
15	2.53333333333333
18	2.55555555555556
24	2.625
56	2.125
39	2.92307692307692
14	2.28571428571429
21	3.04761904761905
13	2.46153846153846
11	1.81818181818182
17	2.05882352941176
14	1.92857142857143
10	1.5
8	1.625
13	2.76923076923077
24	2.75
18	1.83333333333333
16	1.625
8	2
5	1.4
15	1.86666666666667
7	1.57142857142857
20	2.55
7	1.42857142857143
5	0.8
31	2.61290322580645
46	4.10869565217391
8	1.625
29	2.27586206896552
38	2.39473684210526
34	3.05882352941176
17	2.23529411764706
17	1.88235294117647
10	1.7
16	2
15	2.46666666666667
7	1.42857142857143
15	2.06666666666667
5	1
6	1.5
27	1.96296296296296
28	2.28571428571429
21	2.80952380952381
19	1.78947368421053
31	2.29032258064516
19	2.42105263157895
12	1.66666666666667
12	1.91666666666667
12	1.75
15	2
9	1.88888888888889
7	1.42857142857143
54	2.77777777777778
45	2.55555555555556
37	2.43243243243243
15	1.8
16	2.125
5	1.2
23	2.26086956521739
26	2.88461538461538
30	2.5
28	2.5
42	2.83333333333333
6	1.83333333333333
3	0.666666666666667
20	1.9
26	2.53846153846154
29	2.6551724137931
24	2.70833333333333
6	1.16666666666667
8	1.25
6	1.5
41	2.24390243902439
32	2.28125
21	1.9047619047619
4	1
43	2.48837209302326
27	2.77777777777778
4	1.25
6	1.5
28	2.53571428571429
42	2.57142857142857
10	1.7
7	1.85714285714286
13	1.92307692307692
18	1.83333333333333
8	2
16	2.0625
25	2.64
9	1.44444444444444
51	3.27450980392157
29	3.3448275862069
38	3.60526315789474
15	2.2
17	2.23529411764706
33	3.09090909090909
26	2.30769230769231
32	1.90625
10	1.9
60	2.45
7	1.42857142857143
28	2.60714285714286
36	3.77777777777778
36	2.52777777777778
9	1.55555555555556
6	1.83333333333333
7	2
22	2.31818181818182
25	2.48
8	1.375
3	1
12	2.16666666666667
7	1.85714285714286
5	2
7	1.14285714285714
29	2.62068965517241
10	1.3
42	2.76190476190476
34	2.38235294117647
57	4.17543859649123
16	1.6875
17	1.94117647058824
11	2.63636363636364
16	1.8125
20	2.1
15	1.86666666666667
5	1.4
25	2.72
14	1.71428571428571
13	1.92307692307692
15	1.6
8	1.75
7	1.57142857142857
3	1
36	2.47222222222222
5	1
23	2.39130434782609
41	3.26829268292683
11	2.27272727272727
13	2.84615384615385
13	2.15384615384615
7	1.85714285714286
11	1.63636363636364
13	2.38461538461538
12	2.5
13	1.92307692307692
7	1.28571428571429
21	3.0952380952381
31	2.06451612903226
18	1.83333333333333
9	1.33333333333333
12	1.91666666666667
17	3.47058823529412
9	1.66666666666667
5	2
32	2.875
25	3.48
42	2.33333333333333
21	1.85714285714286
17	1.76470588235294
35	2.57142857142857
12	1.75
25	2.84
27	2.2962962962963
4	1.5
24	2.125
42	3.16666666666667
37	3.27027027027027
7	1.14285714285714
30	2.36666666666667
42	1.85714285714286
44	2.65909090909091
33	2.12121212121212
49	2.79591836734694
31	2.19354838709677
19	2.52631578947368
18	1.55555555555556
6	1.33333333333333
3	0.666666666666667
21	1.95238095238095
21	2.42857142857143
29	4.06896551724138
8	1.25
49	2.97959183673469
12	2.25
10	2.2
16	1.75
11	2.18181818181818
19	2.57894736842105
3	1
27	2.7037037037037
25	2.48
20	2.3
10	2
21	2.28571428571429
9	1.55555555555556
10	1.6
11	1.81818181818182
39	2.20512820512821
20	2.5
7	1.57142857142857
11	1.54545454545455
11	2.45454545454545
3	1
5	1.4
6	1.83333333333333
13	2
3	0.666666666666667
25	2.2
36	2.52777777777778
45	2.84444444444444
41	2.97560975609756
19	3.10526315789474
26	2.53846153846154
30	2.4
17	1.88235294117647
25	2.56
28	4.03571428571429
36	2.25
23	1.8695652173913
57	2.66666666666667
20	2.15
37	2.78378378378378
22	1.63636363636364
36	2.44444444444444
25	1.96
8	1.25
21	4.47619047619048
49	2.73469387755102
14	2.42857142857143
3	0.666666666666667
27	2.7037037037037
38	2.81578947368421
47	3.31914893617021
6	1.83333333333333
37	2.35135135135135
43	3.81395348837209
26	3.11538461538462
16	1.8125
8	1.375
32	2.875
9	1.77777777777778
6	1.5
11	1.81818181818182
38	2.60526315789474
20	1.95
23	3.21739130434783
13	1.84615384615385
5	1.2
27	2.03703703703704
4	1
44	3.40909090909091
15	1.93333333333333
17	2.23529411764706
9	1.55555555555556
17	2.11764705882353
13	2.23076923076923
69	2.68115942028985
21	1.95238095238095
13	1.53846153846154
49	2.12244897959184
17	1.82352941176471
30	2.23333333333333
17	1.70588235294118
33	3.36363636363636
12	2.25
28	2.32142857142857
27	2.51851851851852
9	1.44444444444444
5	1
12	1.66666666666667
33	3.03030303030303
39	2.61538461538462
20	2.7
4	1
28	2.92857142857143
21	2.28571428571429
11	2.36363636363636
11	2.54545454545455
9	1.33333333333333
10	1.4
32	3.34375
8	2
4	1
29	2.93103448275862
18	2.55555555555556
24	3.20833333333333
14	2.28571428571429
40	2.95
37	2.91891891891892
21	3.38095238095238
37	2.48648648648649
12	1.66666666666667
24	2.125
8	1.5
62	2.64516129032258
28	2.46428571428571
20	2.2
33	3.3030303030303
49	2.42857142857143
133	3.84962406015038
32	3.03125
17	2.82352941176471
11	1.81818181818182
11	2.54545454545455
19	2
36	2.69444444444444
22	1.81818181818182
33	2.42424242424242
21	2.23809523809524
25	2.28
21	2.23809523809524
3	0.666666666666667
32	2.34375
24	2.45833333333333
6	1
8	1.375
24	2.04166666666667
17	1.88235294117647
22	2.22727272727273
29	2.3448275862069
28	2.5
41	3.73170731707317
16	2.125
4	1
3	0.666666666666667
33	2.45454545454545
24	2.45833333333333
5	1.2
25	2.28
16	1.75
15	1.8
15	2
8	1.875
19	2.42105263157895
9	1.66666666666667
13	1.69230769230769
11	1.90909090909091
22	1.95454545454545
31	2.2258064516129
9	1.55555555555556
37	2.86486486486486
11	1.36363636363636
15	2
33	2
11	2.18181818181818
13	2.46153846153846
27	2.66666666666667
23	2.26086956521739
16	2.125
3	1
3	1
17	2
23	1.78260869565217
14	1.64285714285714
7	1.57142857142857
4	1
26	2.53846153846154
17	2.17647058823529
38	2.81578947368421
21	2.85714285714286
22	2.59090909090909
6	2.16666666666667
22	2.09090909090909
21	2.9047619047619
9	1.33333333333333
19	2.42105263157895
6	1.5
4	1
10	2.7
4	1
30	3.1
5	1.4
16	2.9375
10	1.6
6	1.16666666666667
10	1.8
26	2.88461538461538
5	1.6
32	2.34375
29	2.3448275862069
47	2.87234042553191
30	2.53333333333333
4	1
40	2.7
35	2.82857142857143
14	2.21428571428571
25	1.92
15	2.4
17	2
41	2.53658536585366
30	3.16666666666667
29	3.31034482758621
23	2.65217391304348
38	2.31578947368421
35	2.71428571428571
27	2.07407407407407
31	1.96774193548387
41	2.63414634146341
63	3.3968253968254
26	3.26923076923077
9	1.88888888888889
3	0.666666666666667
20	2.3
14	2.71428571428571
20	2.25
7	1.42857142857143
41	2.4390243902439
29	2.17241379310345
32	2.4375
29	2.3448275862069
18	1.72222222222222
18	2.44444444444444
30	2.6
26	2.80769230769231
25	2.16
45	3.15555555555556
9	1.44444444444444
19	2.94736842105263
7	1.57142857142857
11	1.45454545454545
10	1.8
28	2.46428571428571
34	2.35294117647059
36	2.52777777777778
19	2.10526315789474
18	2.05555555555556
14	1.92857142857143
12	1.75
7	2.14285714285714
26	2.5
34	2.82352941176471
36	2.77777777777778
7	1.42857142857143
12	1.41666666666667
27	2.51851851851852
14	2.78571428571429
27	2.07407407407407
6	1.5
8	2.125
18	2.22222222222222
7	1.85714285714286
20	2.35
16	2
32	2.75
31	2.61290322580645
4	1.5
29	3.06896551724138
14	2.07142857142857
41	2.80487804878049
16	1.9375
27	2.2962962962963
45	3.73333333333333
43	3.58139534883721
16	2.4375
24	2.91666666666667
12	1.75
19	4.05263157894737
20	2.2
14	2.5
5	1
15	2
7	1.42857142857143
43	2.88372093023256
29	2.44827586206897
