"node"	"mean_edge_length"
9	1.77777777777778
11	1.54545454545455
16	1.9375
16	1.375
5	0.8
7	1.42857142857143
7	1.85714285714286
18	1.88888888888889
30	2.23333333333333
5	1.2
11	1.63636363636364
12	2.08333333333333
6	1.5
42	2.97619047619048
11	1.36363636363636
9	2.11111111111111
4	0.75
4	0.75
11	1.36363636363636
3	0.666666666666667
21	2.04761904761905
4	1.5
18	1.83333333333333
14	1.71428571428571
41	3.78048780487805
10	1.5
12	1.33333333333333
9	1.66666666666667
7	1.71428571428571
10	2.5
6	1.5
8	1.75
14	1.92857142857143
11	1.81818181818182
20	2.1
14	1.5
9	2
6	1.16666666666667
9	1.55555555555556
3	1
14	2
19	1.78947368421053
6	1.5
3	1
17	1.70588235294118
30	2.5
23	2.17391304347826
5	1.2
11	1.54545454545455
5	0.8
21	1.9047619047619
20	1.9
27	3.14814814814815
12	1.58333333333333
8	2.125
10	3.1
4	1
29	2.24137931034483
3	0.666666666666667
28	2.46428571428571
7	1.42857142857143
28	2
12	1.75
9	1.22222222222222
24	2.95833333333333
47	4.21276595744681
5	1
3	1
13	2.61538461538462
5	1
7	1.28571428571429
9	2.22222222222222
10	1.8
3	1
7	1.28571428571429
5	1.4
8	1.125
6	1.16666666666667
8	1.25
7	1.71428571428571
6	1.16666666666667
10	1.5
10	2.1
9	1.44444444444444
15	1.86666666666667
9	1.33333333333333
6	1.83333333333333
12	2.5
10	1.4
30	1.86666666666667
15	2.13333333333333
10	2.4
21	2.0952380952381
14	1.92857142857143
5	1.4
3	1
8	2.125
16	2.125
3	0.666666666666667
7	1.42857142857143
9	1.11111111111111
6	1.5
9	2
23	2.30434782608696
5	1.2
4	1.25
13	1.84615384615385
27	3.14814814814815
6	1.16666666666667
3	0.666666666666667
8	2
7	1.28571428571429
4	0.75
14	1.78571428571429
3	1
8	1.25
3	0.666666666666667
24	3.04166666666667
8	1.375
11	1.45454545454545
6	1.33333333333333
12	1.66666666666667
57	5.54385964912281
5	1
16	1.625
6	1.16666666666667
6	2.16666666666667
18	2.55555555555556
5	1
8	1.25
10	1.1
11	1.90909090909091
10	1.3
8	1.375
