"node"	"mean_edge_length"
5	1.8
5	1.6
6	2
9	1.33333333333333
7	1.42857142857143
7	1.71428571428571
5	1.4
8	1.5
9	2.44444444444444
5	1.2
4	1
8	2
6	1.5
11	1.63636363636364
13	2.07692307692308
13	2.92307692307692
12	1.75
9	1.55555555555556
6	1.5
11	3
15	2.4
10	1.6
4	1
3	1
8	1.625
7	1.42857142857143
5	1.4
12	2.58333333333333
17	2.41176470588235
6	1.33333333333333
10	2.5
11	1.63636363636364
6	1.33333333333333
18	1.83333333333333
9	1.88888888888889
12	1.41666666666667
7	1.57142857142857
11	2.45454545454545
9	1.77777777777778
5	1.4
21	2.85714285714286
5	1.2
6	1
20	2.45
10	2
5	1.4
15	2.86666666666667
5	1.2
16	2.25
6	1.33333333333333
8	1.375
13	1.76923076923077
16	1.875
3	0.666666666666667
9	1.55555555555556
7	1.57142857142857
7	1.42857142857143
10	1.5
31	2.93548387096774
3	0.666666666666667
10	1.6
14	1.64285714285714
13	1.76923076923077
22	2.13636363636364
22	2.77272727272727
8	1.25
19	3.10526315789474
31	3.41935483870968
14	1.71428571428571
12	2.25
10	1.6
15	1.8
16	1.5
17	2.11764705882353
13	2.07692307692308
34	2.35294117647059
12	1.5
10	1.8
18	2.05555555555556
20	2.55
15	1.8
18	1.94444444444444
15	2
37	3.51351351351351
15	2.33333333333333
26	2.42307692307692
34	2.97058823529412
29	3.27586206896552
24	2.75
15	2.33333333333333
23	2.56521739130435
39	2.69230769230769
24	2.16666666666667
11	1.63636363636364
10	1.5
8	1.375
19	1.78947368421053
18	2.83333333333333
19	2.15789473684211
20	2.05
20	2.2
13	2.15384615384615
5	1
6	1.16666666666667
13	1.84615384615385
46	3.32608695652174
13	1.30769230769231
29	2.06896551724138
9	1.44444444444444
7	1.14285714285714
51	5.35294117647059
17	2.82352941176471
5	1
3	0.666666666666667
14	2.64285714285714
7	1.28571428571429
14	1.92857142857143
18	2.05555555555556
21	1.47619047619048
24	1.625
6	1
3	0.666666666666667
22	2.18181818181818
7	1.28571428571429
20	1.55
24	2
19	1.73684210526316
3	0.666666666666667
6	1.16666666666667
8	1.5
16	1.6875
6	1.5
27	1.62962962962963
14	1.57142857142857
16	1.8125
10	1.6
24	2.29166666666667
4	1.5
4	1
5	1.4
7	2.28571428571429
10	1.9
9	1.77777777777778
24	2.45833333333333
6	2
8	2
4	1.25
5	2
10	1.8
11	1.36363636363636
5	1.6
20	3.15
4	1
