"node"	"mean_edge_length"
51	3.09803921568627
44	2.61363636363636
7	1.28571428571429
29	4
39	2.82051282051282
48	4.4375
30	3.23333333333333
40	2.775
53	2.88679245283019
44	2.90909090909091
48	3.39583333333333
41	2.4390243902439
45	3.2
28	2.64285714285714
51	2.31372549019608
37	2.16216216216216
32	2.5
41	2.75609756097561
47	2.48936170212766
36	2.08333333333333
37	2.67567567567568
24	2.25
37	2.86486486486486
35	3.14285714285714
38	3.5
55	3.30909090909091
35	1.91428571428571
30	2.9
69	3.95652173913043
16	2.3125
25	2.24
21	2.76190476190476
16	2.5
18	3.05555555555556
30	2.33333333333333
39	2.82051282051282
7	1.42857142857143
15	1.93333333333333
4	1.5
4	1.5
7	1.42857142857143
25	3.04
3	1
17	2
20	2.25
19	3.21052631578947
4	1.25
10	1.6
35	2.31428571428571
48	4.54166666666667
36	3.25
69	3.43478260869565
11	2.81818181818182
51	3.2156862745098
23	2.17391304347826
29	2.24137931034483
31	3.03225806451613
38	3.26315789473684
11	2.54545454545455
64	4.703125
29	2.96551724137931
9	1.66666666666667
13	1.92307692307692
43	3.41860465116279
41	3.04878048780488
45	3.64444444444444
5	1
25	2.88
19	2.73684210526316
20	2.8
15	2.13333333333333
29	3.03448275862069
16	2
18	3.27777777777778
67	4.73134328358209
25	3.68
17	2.17647058823529
16	1.625
8	1.625
5	1
11	3.36363636363636
7	3
6	1.5
22	3
10	2.2
8	1.5
21	2.71428571428571
9	1.77777777777778
9	1.44444444444444
14	2
12	1.5
34	2.32352941176471
13	2
23	2.26086956521739
3	1
4	1
16	2
29	2.3448275862069
21	3.04761904761905
21	2.28571428571429
4	1
26	2.26923076923077
22	3.09090909090909
10	1.8
14	2.5
5	1.6
23	2.30434782608696
23	2.08695652173913
27	2.22222222222222
19	2.36842105263158
3	1
20	2.05
14	1.92857142857143
5	1.2
26	2.57692307692308
17	2.47058823529412
14	2.14285714285714
14	2.57142857142857
23	2.39130434782609
8	1.75
19	1.94736842105263
16	2.4375
24	2.91666666666667
36	2.38888888888889
9	1.88888888888889
66	4.68181818181818
24	3.625
10	1.7
37	2.91891891891892
32	2.34375
48	3.85416666666667
18	2
16	2.25
12	1.91666666666667
45	3.2
11	1.81818181818182
33	2.90909090909091
22	2.86363636363636
32	3.25
32	4.1875
11	1.45454545454545
24	2.29166666666667
18	2.33333333333333
21	3.14285714285714
16	2.125
15	2.46666666666667
28	1.89285714285714
36	1.88888888888889
39	2.74358974358974
18	1.38888888888889
42	2.92857142857143
29	2.17241379310345
30	3.5
43	3.46511627906977
43	3.16279069767442
15	2
19	3.26315789473684
17	1.82352941176471
42	2.71428571428571
51	2.58823529411765
37	3.24324324324324
12	1.75
9	2
29	2.58620689655172
4	1.5
18	2.44444444444444
4	1
15	1.86666666666667
7	1.42857142857143
4	1
7	1.14285714285714
11	1.81818181818182
16	2
8	1.125
14	2.14285714285714
10	1.4
10	1.7
14	1.92857142857143
12	2.25
17	2.05882352941176
9	1.44444444444444
10	1.6
12	2.91666666666667
17	3.64705882352941
8	1.25
12	1.75
5	2
19	4.26315789473684
12	1.91666666666667
3	1
17	1.52941176470588
10	2.1
12	2
17	2.23529411764706
12	2
27	3.25925925925926
34	2.23529411764706
27	2.44444444444444
44	2.43181818181818
23	2.34782608695652
21	2.14285714285714
5	1.4
32	2.75
22	2.68181818181818
6	2.5
3	0.666666666666667
8	1.75
26	2.53846153846154
7	1.42857142857143
18	2.61111111111111
16	3
9	1.88888888888889
13	2.76923076923077
8	1.75
12	3.16666666666667
4	1
40	4.2
41	3.14634146341463
42	2.83333333333333
41	3
29	3.24137931034483
9	2
24	2.83333333333333
17	1.82352941176471
14	1.5
43	2.6046511627907
20	2.15
15	1.86666666666667
14	1.92857142857143
27	3.2962962962963
32	2.28125
8	2
6	1.5
14	1.92857142857143
23	2.65217391304348
3	0.666666666666667
20	2.5
30	2.16666666666667
35	2.45714285714286
12	2.25
7	1.42857142857143
7	1.71428571428571
35	2.54285714285714
12	1.58333333333333
25	2.4
27	2.59259259259259
11	1.63636363636364
16	2.0625
27	2.59259259259259
18	1.94444444444444
47	2.74468085106383
26	2.80769230769231
12	1.66666666666667
12	3.83333333333333
22	2.31818181818182
18	2.27777777777778
10	1.9
3	1
22	2.13636363636364
15	2.26666666666667
6	1.83333333333333
24	3.75
8	2
15	2.8
29	2.20689655172414
48	2.20833333333333
23	2.43478260869565
18	2.38888888888889
17	2.64705882352941
49	2.38775510204082
6	1.5
37	2.37837837837838
5	1.2
26	2.38461538461538
18	1.94444444444444
6	1.33333333333333
19	2.94736842105263
40	2.325
37	2.59459459459459
28	2.25
40	2.8
14	1.64285714285714
63	3.23809523809524
39	2.30769230769231
40	2.075
30	1.96666666666667
34	2.67647058823529
29	2.55172413793103
39	3.66666666666667
32	2.1875
37	3
23	2.43478260869565
24	2.5
31	2.70967741935484
28	2.60714285714286
35	2.71428571428571
42	2.35714285714286
43	2.48837209302326
29	2.96551724137931
44	3.72727272727273
44	2.36363636363636
41	3.02439024390244
33	2.03030303030303
26	2.65384615384615
37	2.45945945945946
52	3.32692307692308
34	2.61764705882353
31	2.70967741935484
51	2.88235294117647
44	3
42	2.33333333333333
44	2.59090909090909
31	2.93548387096774
28	1.92857142857143
40	2.55
34	3.32352941176471
44	3.34090909090909
35	2.71428571428571
42	2.28571428571429
40	2.425
29	2.55172413793103
41	2.78048780487805
44	2.5
42	3.19047619047619
38	2.86842105263158
30	2.06666666666667
35	2.94285714285714
43	2.13953488372093
16	2.4375
48	3.10416666666667
51	3.72549019607843
37	2.78378378378378
31	2.96774193548387
37	3.7027027027027
38	3.23684210526316
33	2.6969696969697
36	2.97222222222222
38	3.39473684210526
42	2.11904761904762
51	2.84313725490196
36	2.5
37	3.35135135135135
51	3
46	3.08695652173913
37	3
43	2.44186046511628
21	2.52380952380952
29	2.68965517241379
44	2.38636363636364
33	3.12121212121212
19	3.05263157894737
48	2.8125
35	2.22857142857143
32	3.28125
44	2.90909090909091
49	3.85714285714286
31	2.64516129032258
42	2.35714285714286
53	2.9811320754717
53	3.90566037735849
13	1.84615384615385
31	3.64516129032258
58	3.32758620689655
22	2.18181818181818
8	1.625
16	1.9375
20	2.5
25	2.76
28	3.57142857142857
27	2.81481481481481
20	2.8
34	2.88235294117647
40	2.05
35	2.45714285714286
51	2.96078431372549
44	3.18181818181818
22	2.81818181818182
50	2.5
44	2.95454545454545
44	2.54545454545455
45	2.53333333333333
37	2.35135135135135
58	3.32758620689655
38	3.63157894736842
34	2.35294117647059
20	2.1
18	2.22222222222222
46	2.60869565217391
22	2.31818181818182
34	2.79411764705882
35	3.05714285714286
46	3.30434782608696
33	4.78787878787879
30	2.93333333333333
40	3.75
29	2.93103448275862
37	2.54054054054054
24	2.04166666666667
8	1.375
23	2
53	3.11320754716981
37	3.18918918918919
45	2.51111111111111
23	2.43478260869565
23	2.21739130434783
27	2.59259259259259
3	0.666666666666667
3	1
5	1.8
5	1.8
5	1.8
6	2.33333333333333
4	1.5
3	1
3	1
3	1
34	2.70588235294118
39	2.71794871794872
29	1.82758620689655
40	2.85
18	1.88888888888889
28	1.92857142857143
43	3.02325581395349
42	2.73809523809524
41	2.17073170731707
25	2
44	3.04545454545455
48	2.60416666666667
13	2.15384615384615
32	2.46875
37	3.2972972972973
34	2.82352941176471
34	3.85294117647059
54	3.16666666666667
64	3.3125
20	5.5
47	3.19148936170213
55	4.49090909090909
38	2.89473684210526
47	3.27659574468085
22	2.59090909090909
55	5.03636363636364
54	3.40740740740741
53	3.13207547169811
45	3.31111111111111
44	4.25
28	2.46428571428571
22	2.68181818181818
21	3.28571428571429
9	2.88888888888889
49	2.69387755102041
19	2.21052631578947
32	2.90625
17	1.94117647058824
24	2.75
22	2.27272727272727
13	2
35	2.08571428571429
28	2.5
31	2.2258064516129
27	3.18518518518519
29	2.48275862068966
13	2.30769230769231
27	2.18518518518519
24	1.91666666666667
27	1.81481481481481
30	2.7
30	2.2
30	2.63333333333333
33	2.93939393939394
25	2.56
13	1.69230769230769
21	2.14285714285714
32	2.5625
45	2.66666666666667
34	2.5
44	2.97727272727273
74	4.63513513513514
58	3.67241379310345
11	1.81818181818182
26	2.38461538461538
38	2.84210526315789
14	2.35714285714286
68	4.22058823529412
52	4.21153846153846
50	3.22
24	2.20833333333333
24	3
46	3.54347826086957
40	2.85
61	3.31147540983607
18	2.33333333333333
19	2.84210526315789
56	3.10714285714286
35	2.37142857142857
36	3.80555555555556
33	3.03030303030303
28	4.07142857142857
10	1.8
51	2.7843137254902
26	2.42307692307692
21	2.19047619047619
39	4.92307692307692
44	3.77272727272727
44	2.20454545454545
58	4.48275862068965
36	2.38888888888889
35	2.37142857142857
46	2.30434782608696
47	3.36170212765957
39	3.53846153846154
