"node"	"mean_edge_length"
9	1.88888888888889
3	1
4	1
5	1.6
4	1.5
3	0.666666666666667
5	1.2
3	1
6	1.16666666666667
4	1.5
4	1.25
3	1
3	1
4	1.5
3	1
3	1
4	1.5
3	0.666666666666667
3	1
4	1.5
6	1.16666666666667
4	1
3	0.666666666666667
3	1
4	0.75
3	0.666666666666667
4	0.75
3	0.666666666666667
5	1.6
3	0.666666666666667
3	1
4	1
9	1.55555555555556
9	1.88888888888889
4	1
9	2
4	1.5
5	1
4	1
3	1
4	1.5
7	2.57142857142857
4	1.5
5	1.2
5	1.2
8	1.75
7	1.14285714285714
4	1.25
3	1
5	1.4
3	1
3	1
4	1.5
3	0.666666666666667
3	1
4	1.5
3	1
4	1
3	0.666666666666667
3	1
3	1
3	1
7	1.42857142857143
3	1
4	1.25
3	1
4	1.5
3	0.666666666666667
5	1.2
3	0.666666666666667
5	1.6
4	1
3	1
3	1
3	1
4	1.25
5	1.2
3	1
3	1
4	1.5
3	0.666666666666667
3	1
5	1
3	1
3	1
7	1.28571428571429
3	1
3	1
4	1
3	1
3	1
4	1
5	1.2
4	1.5
3	0.666666666666667
3	1
3	1
3	1
4	1.5
4	1.5
7	1.57142857142857
4	1.25
4	0.75
3	0.666666666666667
3	1
3	1
3	1
6	2
3	1
5	2
6	1.33333333333333
4	1
4	1.5
6	1.16666666666667
4	1
3	1
4	1
7	2.14285714285714
5	1.8
8	2
4	1.5
3	0.666666666666667
3	0.666666666666667
3	1
6	1.5
3	1
4	1
4	1
5	1.2
4	1.5
3	1
5	1.4
5	1
5	2
6	2.5
4	1.5
4	1
5	1.6
4	1.5
4	1.5
5	1.4
4	1.25
4	1.25
7	1.28571428571429
5	1
3	1
3	1
3	1
3	1
6	1.16666666666667
4	1.5
5	1.4
4	1.5
4	1.5
4	1.25
4	1.5
3	1
4	1.25
6	1.66666666666667
4	1.5
7	1.85714285714286
4	1
5	1
7	1.85714285714286
8	2.25
5	1.6
5	1.4
5	1.6
4	1.5
5	1.6
4	0.75
3	1
3	0.666666666666667
4	1.25
5	1.2
4	1.5
6	1.66666666666667
5	1.6
15	3.73333333333333
6	1.5
4	1.5
4	1
3	1
7	2
5	1.6
3	0.666666666666667
4	1
3	0.666666666666667
3	1
4	1
4	1
9	1.77777777777778
3	1
5	1.2
3	1
8	1.5
4	1
4	1.25
3	1
4	1.5
5	1.6
4	1.5
3	1
3	1
5	1.4
6	1.16666666666667
5	1.2
4	1
5	1
4	0.75
6	1.16666666666667
3	0.666666666666667
3	1
4	1
4	1
4	0.75
4	1
4	1
5	1.2
6	1.5
5	1
3	1
6	1.83333333333333
3	1
3	1
4	1.5
3	1
4	1
4	1.5
4	1.25
3	1
3	1
4	1
4	1
6	1.5
3	0.666666666666667
4	1
3	1
5	1
3	0.666666666666667
3	0.666666666666667
6	1
3	1
3	0.666666666666667
6	1.66666666666667
3	1
3	1
4	1.5
3	1
3	1
6	1.5
5	1.4
6	1
3	1
3	1
3	1
6	1
4	1.5
5	1.8
7	1.71428571428571
3	1
3	0.666666666666667
3	1
3	1
4	1.5
4	1
4	1.25
3	1
4	1
5	1.2
3	1
3	1
5	1.2
3	1
3	1
3	1
3	1
4	1.5
5	1.4
5	1.4
3	1
4	1.5
4	1.5
3	1
3	1
3	1
3	1
3	1
4	0.75
3	1
3	1
3	1
3	1
4	1.5
3	1
4	1.5
3	1
4	1.25
3	1
3	1
3	1
6	1.33333333333333
3	1
5	1.2
3	1
3	1
4	1.5
4	1.5
4	1.5
4	1.25
4	1.25
3	1
3	1
3	0.666666666666667
3	0.666666666666667
3	1
3	1
3	1
3	1
5	2
3	1
3	1
8	1.375
7	1.28571428571429
4	1.25
4	1.5
3	1
3	1
3	0.666666666666667
3	1
3	1
7	1.42857142857143
5	1.8
3	1
3	0.666666666666667
4	1
4	1
3	1
3	1
3	1
4	1
3	1
3	1
3	1
3	0.666666666666667
5	1
3	0.666666666666667
3	1
3	1
3	1
3	1
4	1.5
3	0.666666666666667
3	1
3	1
3	0.666666666666667
4	1
4	1
5	1.4
3	1
4	1
4	0.75
5	1
3	0.666666666666667
3	1
3	1
4	1
3	1
5	1
3	1
4	1.25
4	1.25
3	0.666666666666667
4	1
3	1
4	1.5
3	1
3	1
4	1.5
3	1
3	1
3	1
5	1.4
3	1
3	1
3	1
3	1
3	0.666666666666667
3	1
5	1
3	0.666666666666667
4	1.25
3	1
5	1.8
6	1.5
5	2
5	2
4	1.25
10	2.5
4	1.5
3	1
3	1
3	1
6	1.33333333333333
3	0.666666666666667
5	1.2
4	0.75
7	3
6	1.66666666666667
3	0.666666666666667
3	0.666666666666667
3	0.666666666666667
5	0.8
