"node"	"mean_edge_length"
10	1.9
21	3.33333333333333
25	2.44
35	4.51428571428571
21	3.57142857142857
28	1.96428571428571
10	1.6
17	2.05882352941176
6	1.16666666666667
10	1.7
18	3
17	3.11764705882353
5	1.4
29	2.44827586206897
14	2.21428571428571
16	2.25
10	2.1
9	2.22222222222222
6	1.16666666666667
12	2.33333333333333
7	2.57142857142857
10	1.9
22	2
19	2.36842105263158
6	1.5
8	1.75
9	1.66666666666667
4	1.25
5	1.2
8	2.625
17	2.35294117647059
10	1.3
5	1.4
8	2
12	2
7	1.71428571428571
11	2.09090909090909
9	1.44444444444444
6	1.5
5	1.2
5	1.2
5	1.2
3	1
7	1.14285714285714
5	1.2
5	1.2
10	2.5
5	1
11	1.81818181818182
7	2
8	2
4	1
7	2
13	2.07692307692308
28	2.39285714285714
6	2
25	2.2
32	3.25
14	1.92857142857143
20	2.45
14	2.14285714285714
11	3.18181818181818
15	2.33333333333333
12	1.5
21	2.14285714285714
7	1.57142857142857
29	2.44827586206897
28	2.71428571428571
6	1.16666666666667
13	1.84615384615385
12	2.5
27	2.74074074074074
15	2.33333333333333
28	3.35714285714286
15	2.13333333333333
10	2.6
22	3.18181818181818
7	1.42857142857143
8	1.875
18	2.61111111111111
28	4.89285714285714
29	2.75862068965517
10	2.2
27	2.66666666666667
8	1.75
21	1.80952380952381
8	1.875
16	2.25
25	3.68
12	2.5
9	1.55555555555556
4	1
16	2.625
10	2.5
10	1.9
10	1.9
19	2.15789473684211
7	1.57142857142857
17	2.64705882352941
8	2
14	2.5
11	2.81818181818182
14	2.28571428571429
22	2.90909090909091
8	1.375
11	2.27272727272727
19	2.31578947368421
21	2.23809523809524
21	2.76190476190476
19	2.47368421052632
15	2.46666666666667
7	1.71428571428571
31	2.70967741935484
10	1.9
26	2.42307692307692
15	2
30	3
12	2.41666666666667
17	1.94117647058824
10	2
13	1.76923076923077
18	2.55555555555556
11	3.09090909090909
7	2.14285714285714
11	1.63636363636364
12	3.16666666666667
17	2.41176470588235
9	1.44444444444444
10	2.7
3	1
11	1.36363636363636
10	1.3
10	1.6
11	2.09090909090909
10	2
3	1
5	1.4
11	2.09090909090909
5	1.4
5	1.4
8	1.625
9	1.44444444444444
4	1.5
8	1.625
5	1.6
10	1.7
9	2.33333333333333
12	2.16666666666667
5	1.4
3	1
7	1.57142857142857
13	1.76923076923077
5	1.4
10	2.2
11	1.36363636363636
9	1.44444444444444
7	1.57142857142857
11	2.09090909090909
6	2
12	2.41666666666667
14	2.28571428571429
11	2.45454545454545
16	2.5
8	2
12	2.5
10	1.9
14	2.71428571428571
6	1.5
7	2.14285714285714
11	2
16	2.8125
15	2.4
11	1.63636363636364
10	1.8
5	1.4
12	1.91666666666667
6	1.5
10	2.6
17	3.23529411764706
15	2.06666666666667
7	1.14285714285714
12	1.91666666666667
10	2.3
15	2.06666666666667
11	2.36363636363636
26	3.07692307692308
14	2
14	2
10	1.8
9	2
16	2.5625
13	3.15384615384615
9	2.44444444444444
8	1.875
13	1.53846153846154
3	0.666666666666667
8	1.625
8	1.625
20	3.25
18	3.11111111111111
13	2.15384615384615
5	1.2
12	2.41666666666667
4	1.25
19	2.78947368421053
11	1.90909090909091
12	2.25
6	1.83333333333333
10	2
14	2.42857142857143
15	3.13333333333333
16	2.5
6	1.83333333333333
11	2.36363636363636
14	2
26	2.96153846153846
23	2.60869565217391
18	3.16666666666667
10	2.2
13	2.53846153846154
13	2.15384615384615
10	2.6
16	2.5
8	1.375
19	3.05263157894737
10	2.1
13	2.15384615384615
22	4.90909090909091
21	2.85714285714286
16	2.5625
8	2.25
9	2.22222222222222
5	2
12	2.33333333333333
25	2.88
20	2.75
9	2.11111111111111
22	2.54545454545455
16	2
15	2.4
21	2.47619047619048
7	2.28571428571429
13	2.53846153846154
19	3.36842105263158
11	2.27272727272727
23	2.1304347826087
14	1.78571428571429
25	3.04
11	2.90909090909091
17	2.35294117647059
19	3.10526315789474
32	3.09375
21	2.14285714285714
9	1.77777777777778
23	2.69565217391304
29	3.41379310344828
18	2.72222222222222
16	4.1875
15	2.6
13	2.38461538461538
18	2.44444444444444
12	2.5
13	2.76923076923077
23	3.1304347826087
13	2.92307692307692
12	1.83333333333333
7	1.85714285714286
5	1.2
6	1.66666666666667
3	1
5	1.4
4	1.5
8	1.375
3	0.666666666666667
3	0.666666666666667
3	0.666666666666667
4	1
3	0.666666666666667
8	1.75
6	1.5
5	1.6
6	1.66666666666667
10	1.3
4	1.5
5	1.2
9	2.22222222222222
8	1.375
4	0.75
3	0.666666666666667
5	1
5	1.4
3	1
6	1.5
8	2.75
6	1.33333333333333
4	1.25
8	1.625
3	1
3	1
8	2.25
4	1
3	1
9	1.55555555555556
3	1
6	1.5
9	1.55555555555556
4	1
3	1
3	1
3	0.666666666666667
3	1
6	1.16666666666667
6	1.16666666666667
3	1
7	1.28571428571429
4	1.5
6	1.83333333333333
8	2
7	2
4	1.25
6	1.16666666666667
8	2
7	1.28571428571429
4	1.5
11	2.09090909090909
7	1.71428571428571
5	1.6
9	1.55555555555556
4	1
11	1.54545454545455
3	0.666666666666667
3	1
3	1
4	1
7	1.57142857142857
10	2.6
4	1.25
3	0.666666666666667
5	1
8	1.5
4	1
7	1.14285714285714
5	0.8
9	2.44444444444444
5	1.4
14	1.78571428571429
4	1
9	2.11111111111111
6	1
3	0.666666666666667
8	1.375
3	1
4	0.75
7	2
7	1.28571428571429
9	2.88888888888889
5	0.8
3	1
12	2.41666666666667
6	1.33333333333333
6	1.16666666666667
8	1.75
10	1.9
4	1.25
8	1.375
3	0.666666666666667
4	1.5
4	1
6	1.5
11	3.18181818181818
5	1.2
8	2
3	1
5	1
5	1
4	1.5
6	1.16666666666667
4	1.25
16	2.375
5	1
4	1.5
5	1.6
8	1.625
11	2.09090909090909
6	1.33333333333333
5	1
5	1
5	1.2
9	1.77777777777778
10	1.5
5	1.2
4	1.5
6	1.83333333333333
5	1.2
5	1
3	1
9	2.33333333333333
3	0.666666666666667
3	1
4	1
4	1
5	1
7	2.71428571428571
7	1.57142857142857
4	1.5
4	1.25
4	1
8	2
18	3.88888888888889
9	1.55555555555556
6	1.16666666666667
25	2.52
12	1.91666666666667
4	1
5	1.4
5	1.4
5	1
8	1.625
11	2.63636363636364
3	1
7	1.42857142857143
11	1.90909090909091
5	1.4
3	1
3	1
7	1.42857142857143
3	0.666666666666667
7	1.14285714285714
4	1
8	1.75
8	1.75
3	0.666666666666667
5	1.2
3	1
3	0.666666666666667
15	3.46666666666667
